Mapping parameters for Dicentrarchus labrax (European seabass),,,,,
,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,
,,,,,
,,,,,
Map data (HSPEC) for predicted occurrences (n = 9811): ,,,,,
,,,,,
"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):",,,,,
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.,,,,,
2. Click on the Regenerate Map Data and View Map button then click OK.,,,,,
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.,,,,,
4. Select HSPEC then Submit.,,,,,
,,,,,
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Dicentrarchus,labrax,4.75,4.75,1000:144:4,0.01
Dicentrarchus,labrax,0.25,6.75,1000:206:2,0.08
Dicentrarchus,labrax,0.25,8.75,1000:208:2,0.06
Dicentrarchus,labrax,0.25,9.25,1000:209:1,0.08
Dicentrarchus,labrax,0.25,9.75,1000:209:2,0.08
Dicentrarchus,labrax,0.75,9.25,1000:209:3,0.08
Dicentrarchus,labrax,0.75,9.75,1000:209:4,0.08
Dicentrarchus,labrax,1.25,7.25,1000:217:1,0.04
Dicentrarchus,labrax,1.75,7.25,1000:217:3,0.04
Dicentrarchus,labrax,1.75,7.75,1000:217:4,0.04
Dicentrarchus,labrax,1.25,9.25,1000:219:1,0.04
Dicentrarchus,labrax,1.25,9.75,1000:219:2,0.04
Dicentrarchus,labrax,1.75,9.75,1000:219:4,0.04
Dicentrarchus,labrax,2.75,8.25,1000:228:3,0.01
Dicentrarchus,labrax,2.25,9.75,1000:229:2,0.02
Dicentrarchus,labrax,2.75,9.75,1000:229:4,0.02
Dicentrarchus,labrax,3.75,5.75,1000:235:4,0.01
Dicentrarchus,labrax,3.75,6.25,1000:236:3,0.01
Dicentrarchus,labrax,3.75,6.75,1000:236:4,0.01
Dicentrarchus,labrax,3.75,7.25,1000:237:3,0.01
Dicentrarchus,labrax,3.75,7.75,1000:237:4,0.01
