Mapping parameters for Hippoglossus hippoglossus (Atlantic halibut),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 496),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Hippoglossus,hippoglossus,40.75,-69.75,7406:209:4,45,12.87,33.33,1691,0,98
Hippoglossus,hippoglossus,40.75,-68.25,7406:208:3,70,13.14,33.6,1366,0,180
Hippoglossus,hippoglossus,40.75,-67.75,7406:207:4,80,13.82,33.82,1270,0,219
Hippoglossus,hippoglossus,41.25,-71.25,7407:111:1,32,11.55,32.86,1735,0.01,20
Hippoglossus,hippoglossus,41.25,-51.75,7405:111:2,4880,16.6,34.43,487,0,659
Hippoglossus,hippoglossus,41.25,-63.25,7406:113:1,3932,14.54,33.57,646,0,346
Hippoglossus,hippoglossus,41.25,-69.25,7406:219:1,68,10.67,32.29,1393,0.000055,84
Hippoglossus,hippoglossus,41.25,-68.75,7406:218:2,91,10.67,32.79,1623,0,125
Hippoglossus,hippoglossus,41.25,-67.75,7406:217:2,42,10.99,33.02,1809,0,209
Hippoglossus,hippoglossus,41.25,-66.25,7406:216:1,606,11.53,33.14,1208,0,320
Hippoglossus,hippoglossus,41.75,-69.75,7406:219:4,62,10.67,32.29,1383,0.00380417,20
Hippoglossus,hippoglossus,41.75,-69.25,7406:219:3,162,10.67,32.29,1188,0.00065167,83
Hippoglossus,hippoglossus,41.75,-68.75,7406:218:4,154,10.67,32.79,1382,0.0001525,124
Hippoglossus,hippoglossus,41.75,-68.25,7406:218:3,105,10.67,32.79,1893,0.0000825,166
Hippoglossus,hippoglossus,41.75,-67.75,7406:217:4,41,10.99,33.02,2029,0,207
Hippoglossus,hippoglossus,41.75,-67.25,7406:217:3,47,10.99,33.02,1839,0,249
Hippoglossus,hippoglossus,41.75,-66.75,7406:216:4,65,11.53,33.14,1517,0,268
Hippoglossus,hippoglossus,41.75,-66.25,7406:216:3,86,11.53,33.14,1264,0,264
Hippoglossus,hippoglossus,41.75,-65.75,7406:215:4,725,12.29,33.24,1104,0,260
Hippoglossus,hippoglossus,42.25,-64.75,7406:124:2,1467,10.35,32.33,994,0,205
Hippoglossus,hippoglossus,42.25,-70.25,7407:120:1,54,9.67,31.89,1616,0.01,20
Hippoglossus,hippoglossus,42.25,-66.75,7406:226:2,201,9.27,32.34,1440,0.00055333,213
Hippoglossus,hippoglossus,42.25,-66.25,7406:226:1,182,9.27,32.34,1265,0.000555,208
Hippoglossus,hippoglossus,42.25,-65.75,7406:225:2,208,9.69,32.22,1132,0.000055,205
Hippoglossus,hippoglossus,42.25,-65.25,7406:225:1,641,9.69,32.22,1024,0.00012417,202
Hippoglossus,hippoglossus,42.25,-69.75,7406:229:2,185,9.41,31.89,1428,0.00155417,82
