Mapping parameters for Lates calcarifer (Barramundi),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 219),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Lates,calcarifer,-25.75,152.75,3215:352:4,1,24.38,35.31,388,0,3
Lates,calcarifer,-25.25,152.75,3215:352:2,8,24.38,35.31,346,0,12
Lates,calcarifer,-24.75,152.75,3215:142:4,29,24.65,35.36,157,0,50
Lates,calcarifer,-24.75,152.25,3215:142:3,56,24.65,35.43,365,0,8
Lates,calcarifer,-24.25,151.75,3215:141:2,12,24.57,35.45,451,0,5
Lates,calcarifer,-23.75,150.75,3215:130:4,3,24.6,35.45,389,0,1
Lates,calcarifer,-23.75,151.25,3215:131:3,6,24.65,35.45,496,0,13
Lates,calcarifer,-23.25,151.25,3215:131:1,18,24.65,35.45,346,0,25
Lates,calcarifer,-23.25,150.75,3215:130:2,9,24.6,35.45,673,0,10
Lates,calcarifer,-22.75,150.75,3215:120:4,18,24.67,35.38,712,0,12
Lates,calcarifer,-22.75,150.25,3215:120:3,1,24.67,35.27,662,0,0
Lates,calcarifer,-22.25,149.75,3214:229:2,13,24.53,35.27,755,0,18
Lates,calcarifer,-21.75,149.25,3214:219:3,4,24.86,35.11,485,0,2
Lates,calcarifer,-21.25,149.25,3214:219:1,13,24.86,35.11,267,0,12
Lates,calcarifer,-20.75,149.25,3214:209:3,8,25.38,35.11,200,0,25
Lates,calcarifer,-20.75,148.75,3214:208:4,18,25.52,35.11,413,0,9
Lates,calcarifer,-20.75,116.75,3211:206:4,11,26.66,35.02,758,0,11
Lates,calcarifer,-20.25,148.75,3214:208:2,5,25.52,35.02,276,0,16
Lates,calcarifer,-20.25,148.25,3214:208:1,6,25.52,35.02,407,0,3
Lates,calcarifer,-20.25,118.75,3211:208:2,15,26.78,35.13,670,0,15
Lates,calcarifer,-19.75,148.25,3114:498:3,28,25.88,35.02,174,0,24
Lates,calcarifer,-19.75,147.75,3114:497:4,19,26.01,35.02,437,0,14
Lates,calcarifer,-19.25,148.75,3114:498:2,10,25.88,35.02,193,0,126
Lates,calcarifer,-19.25,147.25,3114:497:1,27,26.01,35.06,599,0,19
Lates,calcarifer,-19.25,146.75,3114:496:2,27,26.08,35.06,521,0,9
Lates,calcarifer,-19.25,146.25,3114:496:1,1,26.08,35.06,432,0,0
Lates,calcarifer,-18.75,146.25,3114:486:3,33,26.29,34.99,420,0,10
Lates,calcarifer,-18.25,146.25,3114:486:1,19,26.29,34.99,343,0,20
Lates,calcarifer,-17.75,140.25,3114:370:3,19,27.12,34.09,1731,0,10
Lates,calcarifer,-17.75,146.25,3114:476:3,14,26.42,34.99,284,0,21
Lates,calcarifer,-17.75,123.75,3112:373:4,1,28.02,34.81,593,0,0
