Mapping parameters for Acanthopagrus schlegelii (Blackhead seabream),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 21),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Acanthopagrus,schlegelii,18.25,106.25,1110:486:1,39,26.49,32.45,1166,0,14
Acanthopagrus,schlegelii,19.75,114.25,1111:394:3,622,26.52,33.95,455,0,292
Acanthopagrus,schlegelii,22.25,120.25,1212:120:1,721,26.32,34.09,785,0,97
Acanthopagrus,schlegelii,22.25,114.25,1211:124:1,10,24.72,33.79,1385,0,22
Acanthopagrus,schlegelii,22.75,120.25,1212:120:3,179,26.32,34.09,737,0,15
Acanthopagrus,schlegelii,23.75,119.75,1211:239:4,42,24.59,33.95,1087,0,25
Acanthopagrus,schlegelii,24.25,120.75,1212:140:2,11,24.17,33.72,650,0,3
Acanthopagrus,schlegelii,24.25,120.25,1212:140:1,41,24.17,33.75,939,0,24
Acanthopagrus,schlegelii,24.25,118.25,1211:248:1,20,22.83,33.9,1398,0,24
Acanthopagrus,schlegelii,24.75,121.75,1212:141:4,251,25.05,34.5,719,0,8
Acanthopagrus,schlegelii,24.75,120.75,1212:140:4,53,24.17,33.72,1002,0,19
Acanthopagrus,schlegelii,25.25,121.75,1212:351:2,66,23.92,34.43,871,0,15
Acanthopagrus,schlegelii,25.25,121.25,1212:351:1,78,23.92,33.72,1081,0,19
Acanthopagrus,schlegelii,25.25,119.75,1211:459:2,22,21.42,33.72,1628,0,25
Acanthopagrus,schlegelii,32.75,129.75,1312:229:4,49,22,34.18,452,0,20
Acanthopagrus,schlegelii,34.25,127.25,1312:247:1,5,18.71,33.58,1191,0,22
Acanthopagrus,schlegelii,35.25,139.75,1313:459:2,172,20.45,34.43,749,0,15
Acanthopagrus,schlegelii,35.25,139.25,1313:459:1,421,20.45,34.43,620,0,11
Acanthopagrus,schlegelii,36.25,140.75,1314:360:2,150,19.95,34.2,773,0,18
Acanthopagrus,schlegelii,39.75,127.75,1312:497:4,44,13.45,33.59,983,0,17
Acanthopagrus,schlegelii,58.75,162.75,1516:382:4,19,3.81,32.63,686,0.33,11
