Mapping parameters for Oncorhynchus tshawytscha (Chinook salmon),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 514),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Oncorhynchus,tshawytscha,27.75,-114.25,7211:374:3,4,18.96,33.63,1117,0,10
Oncorhynchus,tshawytscha,34.25,-122.25,7312:142:1,3985,14.98,33.24,727,0,191
Oncorhynchus,tshawytscha,34.25,-119.75,7311:249:2,236,15.43,33.47,1617,0,19
Oncorhynchus,tshawytscha,34.25,-118.25,7311:248:1,6,16.08,33.47,1457,0,0
Oncorhynchus,tshawytscha,36.25,140.75,1314:360:2,150,19.95,34.2,773,0,18
Oncorhynchus,tshawytscha,36.75,-122.25,7312:362:3,1365,13.43,33.29,1573,0,22
Oncorhynchus,tshawytscha,36.75,-121.75,7312:361:4,200,13.96,33.29,1465,0,8
Oncorhynchus,tshawytscha,37.25,143.75,1314:373:2,7119,17.51,34.14,528,0,252
Oncorhynchus,tshawytscha,37.75,-122.75,7312:372:4,71,12.93,33.18,2002,0,20
Oncorhynchus,tshawytscha,37.75,-122.25,7312:372:3,37,12.93,33.18,1827,0,9
Oncorhynchus,tshawytscha,38.25,-122.25,7312:382:1,15,12.83,33.18,1824,0,3
Oncorhynchus,tshawytscha,39.25,-123.75,7312:393:2,222,12.42,32.88,1761,0,12
Oncorhynchus,tshawytscha,39.75,-124.25,7312:394:3,1276,12.73,32.88,1570,0,49
Oncorhynchus,tshawytscha,40.25,139.75,1413:209:2,424,14.18,33.84,710,0,21
Oncorhynchus,tshawytscha,40.75,-124.25,7412:104:3,130,12.39,32.68,2291,0,12
Oncorhynchus,tshawytscha,41.25,-124.25,7412:114:1,236,12.18,32.54,1745,0,18
Oncorhynchus,tshawytscha,41.75,-124.25,7412:114:3,131,12.18,32.54,1961,0,16
Oncorhynchus,tshawytscha,42.25,-124.25,7412:124:1,81,12.14,32.52,1599,0,8
Oncorhynchus,tshawytscha,42.75,-124.25,7412:124:3,48,12.14,32.52,1755,0,3
Oncorhynchus,tshawytscha,43.75,-124.25,7412:134:3,114,12.23,31.48,1681,0,14
Oncorhynchus,tshawytscha,44.25,-124.25,7412:144:1,85,12.36,31.48,1830,0,18
Oncorhynchus,tshawytscha,44.75,-126.25,7412:246:3,2850,12.75,32.08,719,0,178
Oncorhynchus,tshawytscha,44.75,-124.25,7412:144:3,107,12.36,31.48,1608,0,19
Oncorhynchus,tshawytscha,45.25,-124.25,7412:354:1,227,12.31,30.7,1262,0,49
Oncorhynchus,tshawytscha,45.25,-123.75,7412:353:2,56,11.94,30.7,1998,0,2
Oncorhynchus,tshawytscha,45.75,-123.75,7412:353:4,67,11.94,30.7,2096,0,4
