Mapping parameters for Rachycentron canadum (Cobia),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 744),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Rachycentron,canadum,-36.75,-52.25,5305:362:3,3219,18.22,34.26,391,0,309
Rachycentron,canadum,-36.25,122.25,3312:362:1,5266,16.5,35.5,523,0,311
Rachycentron,canadum,-34.75,20.25,3302:140:3,52,18.01,35.34,1362,0,17
Rachycentron,canadum,-34.75,-54.25,5305:144:3,28,17.34,32.27,2870,0,16
Rachycentron,canadum,-34.25,25.75,3302:245:2,187,21.31,35.36,1333,0,88
Rachycentron,canadum,-33.75,115.25,3311:235:3,55,20.07,35.72,464,0,6
Rachycentron,canadum,-33.75,26.75,3302:236:4,66,21.88,35.38,1596,0,17
Rachycentron,canadum,-33.75,25.75,3302:235:4,11,21.46,35.36,1526,0,10
Rachycentron,canadum,-33.25,124.25,3312:134:1,39,17.99,35.88,506,0,20
Rachycentron,canadum,-33.25,115.75,3311:235:2,14,20.07,35.72,365,0,9
Rachycentron,canadum,-32.25,115.75,3311:225:2,14,20.6,35.65,583,0,14
Rachycentron,canadum,-32.25,115.25,3311:225:1,199,20.6,35.65,600,0,71
Rachycentron,canadum,-31.75,115.75,3311:215:4,18,20.84,35.5,492,0,13
Rachycentron,canadum,-31.25,115.25,3311:215:1,62,20.84,35.5,641,0,22
Rachycentron,canadum,-31.25,30.25,3303:110:1,1265,23.17,35.31,822,0,21
Rachycentron,canadum,-31.25,29.75,3302:219:2,156,23.07,35.31,931,0,4
Rachycentron,canadum,-30.75,32.75,3303:102:4,3065,23.46,35.38,588,0,222
Rachycentron,canadum,-30.75,30.75,3303:100:4,1444,23.57,35.34,816,0,23
Rachycentron,canadum,-30.75,30.25,3303:100:3,157,23.57,35.31,904,0,4
Rachycentron,canadum,-30.25,31.25,3303:101:1,1000,23.61,35.34,837,0,72
Rachycentron,canadum,-30.25,30.75,3303:100:2,242,23.57,35.34,974,0,12
Rachycentron,canadum,-29.75,31.25,3203:391:3,167,23.94,35.34,874,0,20
Rachycentron,canadum,-29.75,30.75,3203:390:4,6,23.67,35.34,1214,0,0
Rachycentron,canadum,-29.25,31.75,3203:391:2,74,23.94,35.34,1236,0,22
Rachycentron,canadum,-29.25,31.25,3203:391:1,18,23.94,35.34,858,0,4
Rachycentron,canadum,-28.75,114.75,3211:384:4,65,22.17,35.49,344,0,9
Rachycentron,canadum,-28.75,32.25,3203:382:3,248,24.35,35.34,761,0,17
Rachycentron,canadum,-28.75,31.75,3203:381:4,27,24.11,35.34,693,0,3
Rachycentron,canadum,-28.25,32.75,3203:382:2,872,24.35,35.29,612,0,24
Rachycentron,canadum,-28.25,32.25,3203:382:1,45,24.35,35.29,657,0,1
