Mapping parameters for Gadus morhua (Atlantic cod),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 1796),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Gadus,morhua,35.25,-76.75,7307:456:2,1,20.23,34.06,957,0,8
Gadus,morhua,36.25,-75.75,7307:465:2,9,18.43,32.43,1519,0,21
Gadus,morhua,36.75,-75.25,7307:465:3,26,18.43,32.43,1101,0,89
Gadus,morhua,37.25,-75.25,7307:475:1,28,15.44,33.27,1198,0,89
Gadus,morhua,37.75,-74.75,7307:374:4,40,16.9,33.27,1181,0,88
Gadus,morhua,37.75,-74.25,7307:374:3,312,16.9,33.27,914,0,132
Gadus,morhua,37.75,-75.25,7307:475:3,17,15.44,33.27,1581,0,21
Gadus,morhua,38.25,-74.25,7307:384:1,52,14.23,32.63,1139,0,131
Gadus,morhua,38.25,-74.75,7307:384:2,26,14.23,32.63,1567,0,87
Gadus,morhua,38.75,-73.75,7307:383:4,51,15.67,33.45,1103,0,114
Gadus,morhua,38.75,-74.75,7307:384:4,18,14.23,32.63,1840,0,87
Gadus,morhua,38.75,-74.25,7307:384:3,40,14.23,32.63,1275,0,98
Gadus,morhua,39.25,-69.25,7306:499:1,2802,15.97,34.24,720,0,270
Gadus,morhua,39.25,-74.75,7307:394:2,7,12.52,32.63,1282,0,8
Gadus,morhua,39.25,-74.25,7307:394:1,22,12.52,33.02,1299,0,21
Gadus,morhua,39.25,-73.75,7307:393:2,38,13.51,33.02,1445,0,81
Gadus,morhua,39.25,-73.25,7307:393:1,57,13.51,33.02,1336,0,119
Gadus,morhua,39.25,-72.25,7307:392:1,873,14.42,33.33,972,0,200
Gadus,morhua,39.25,-71.25,7307:391:1,2600,15.26,33.7,850,0,230
Gadus,morhua,39.75,-68.25,7306:498:3,2683,16.34,34.45,790,0,252
Gadus,morhua,39.75,-74.25,7307:394:3,8,12.52,33.02,1283,0.00027473,9
Gadus,morhua,39.75,-73.75,7307:393:4,28,13.51,33.02,1296,0,64
Gadus,morhua,39.75,-73.25,7307:393:3,43,13.51,33.02,1394,0,107
Gadus,morhua,39.75,-72.75,7307:392:4,65,14.42,33.33,1109,0,145
Gadus,morhua,39.75,-72.25,7307:392:3,135,14.42,33.33,1076,0,154
Gadus,morhua,40.25,-73.75,7407:103:2,25,12.67,33.02,1983,0,21
Gadus,morhua,40.25,-73.25,7407:103:1,39,12.67,32.47,1755,0,85
Gadus,morhua,40.25,-72.75,7407:102:2,49,12.66,32.47,1285,0,98
Gadus,morhua,40.25,-72.25,7407:102:1,62,12.66,32.47,1203,0,98
Gadus,morhua,40.25,-71.75,7407:101:2,80,12.79,32.86,981,0,112
Gadus,morhua,40.25,-71.25,7407:101:1,131,12.79,32.86,1155,0,144
