Mapping parameters for Oncorhynchus kisutch (Coho salmon),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 349),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Oncorhynchus,kisutch,22.25,-105.75,7210:225:2,52,26.81,34.79,1399,0,19
Oncorhynchus,kisutch,33.75,-118.25,7311:238:3,435,16.72,33.47,1489,0,15
Oncorhynchus,kisutch,34.25,-122.25,7312:142:1,3985,14.98,33.24,727,0,191
Oncorhynchus,kisutch,34.25,-119.75,7311:249:2,236,15.43,33.47,1617,0,19
Oncorhynchus,kisutch,36.25,140.75,1314:360:2,150,19.95,34.2,773,0,18
Oncorhynchus,kisutch,37.25,143.75,1314:373:2,7119,17.51,34.14,528,0,252
Oncorhynchus,kisutch,37.25,-122.25,7312:372:1,72,12.93,33.29,1613,0,8
Oncorhynchus,kisutch,37.75,-122.75,7312:372:4,71,12.93,33.18,2002,0,20
Oncorhynchus,kisutch,37.75,-122.25,7312:372:3,37,12.93,33.18,1827,0,9
Oncorhynchus,kisutch,38.25,-123.25,7312:383:1,157,12.75,33.18,2114,0,21
Oncorhynchus,kisutch,38.25,-122.75,7312:382:2,26,12.83,33.18,1946,0,2
Oncorhynchus,kisutch,38.75,-123.25,7312:383:3,87,12.75,32.81,1742,0,5
Oncorhynchus,kisutch,39.25,-123.75,7312:393:2,222,12.42,32.88,1761,0,12
Oncorhynchus,kisutch,39.75,-124.25,7312:394:3,1276,12.73,32.88,1570,0,49
Oncorhynchus,kisutch,39.75,-123.75,7312:393:4,172,12.42,32.88,1815,0,9
Oncorhynchus,kisutch,40.75,-124.25,7412:104:3,130,12.39,32.68,2291,0,12
Oncorhynchus,kisutch,41.25,-124.25,7412:114:1,236,12.18,32.54,1745,0,18
Oncorhynchus,kisutch,41.75,-124.25,7412:114:3,131,12.18,32.54,1961,0,16
Oncorhynchus,kisutch,42.25,143.25,1414:123:1,115,10.63,33.25,1018,0.00899006,8
Oncorhynchus,kisutch,42.25,142.75,1414:122:2,212,11.55,33.29,887,0.01,9
Oncorhynchus,kisutch,43.25,-124.25,7412:134:1,60,12.23,31.48,1723,0,7
Oncorhynchus,kisutch,43.75,-124.25,7412:134:3,114,12.23,31.48,1681,0,14
Oncorhynchus,kisutch,44.25,145.75,1414:245:2,813,6.06,32.68,793,0.08,18
Oncorhynchus,kisutch,44.25,-124.25,7412:144:1,85,12.36,31.48,1830,0,18
Oncorhynchus,kisutch,44.75,-124.25,7412:144:3,107,12.36,31.48,1608,0,19
Oncorhynchus,kisutch,44.75,147.25,1414:247:3,302,6.37,32.66,795,0.07,15
Oncorhynchus,kisutch,44.75,-126.25,7412:246:3,2850,12.75,32.08,719,0,178
