Mapping parameters for Thunnus thynnus (Atlantic bluefin tuna),,,,,
,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,
,,,,,
Map type: Expert reviewed,,,,,
Map Option: In FAO and Bounding Box,,,,,
FAOAreas:  21 |  27 |  31 |  34 |  37 |  41 |  47 ,,,,,
Bounding Box (NSWE): ,68.5,-58,-99,42,
,,,,,
Pelagic: True,,,,,
Layer used to generate probabilities: Surface,,,,,
,,,,,
Species Envelope (HSPEN):,,,,,
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,100,9850
Temperature (°C),1,7.5,9.4,24.97,28.25
Salinity (psu),1,18.07,30.31,37.68,39.62
Primary Production,0,150,367,1867,3200.5
Sea Ice Concentration,1,-0.97,0,0.13,0.19
Distance to Land (km),0,1,2,362,629
 ,,,,,
