Mapping parameters for Paralichthys olivaceus (Bastard halibut),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 45),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Paralichthys,olivaceus,9.75,117.75,1011:497:4,1294,28.9,33.56,446,0,110
Paralichthys,olivaceus,10.75,108.25,1110:208:3,22,27.79,33.2,501,0,25
Paralichthys,olivaceus,12.25,110.75,1111:120:2,2473,27.78,33.48,376,0,190
Paralichthys,olivaceus,12.75,124.25,1112:124:3,96,28.52,34.4,512,0,20
Paralichthys,olivaceus,18.25,106.25,1110:486:1,39,26.49,32.45,1166,0,14
Paralichthys,olivaceus,19.25,106.75,1110:496:2,214,26.25,32.02,793,0,126
Paralichthys,olivaceus,20.25,114.75,1211:104:2,181,25.86,33.9,483,0,268
Paralichthys,olivaceus,21.25,117.75,1211:217:2,919,25.96,34.05,338,0,170
Paralichthys,olivaceus,22.25,120.25,1212:120:1,721,26.32,34.09,785,0,97
Paralichthys,olivaceus,22.25,114.25,1211:124:1,10,24.72,33.79,1385,0,22
Paralichthys,olivaceus,22.25,113.75,1211:123:2,8,24.71,33.61,2126,0,23
Paralichthys,olivaceus,22.75,120.25,1212:120:3,179,26.32,34.09,737,0,15
Paralichthys,olivaceus,23.25,122.25,1212:132:1,4801,26.4,34.52,314,0,91
Paralichthys,olivaceus,24.25,120.25,1212:140:1,41,24.17,33.75,939,0,24
Paralichthys,olivaceus,24.25,118.25,1211:248:1,20,22.83,33.9,1398,0,24
Paralichthys,olivaceus,25.25,121.75,1212:351:2,66,23.92,34.43,871,0,15
Paralichthys,olivaceus,25.25,119.75,1211:459:2,22,21.42,33.72,1628,0,25
Paralichthys,olivaceus,31.25,130.25,1313:110:1,236,23.54,34.31,483,0,19
Paralichthys,olivaceus,31.25,121.25,1312:111:1,5,17,30.7,1741,0,0
Paralichthys,olivaceus,31.25,130.75,1313:110:2,71,23.54,34.52,256,0,15
Paralichthys,olivaceus,32.75,129.75,1312:229:4,49,22,34.18,452,0,20
Paralichthys,olivaceus,32.75,132.75,1313:122:4,244,22.6,34.52,456,0,19
Paralichthys,olivaceus,33.25,134.25,1313:134:1,519,21.72,34.54,521,0,21
Paralichthys,olivaceus,34.25,137.25,1313:247:1,907,21.55,34.4,646,0,84
Paralichthys,olivaceus,34.25,135.25,1313:245:1,28,20.73,34.34,504,0,10
Paralichthys,olivaceus,34.25,134.75,1313:144:2,26,20.48,34.54,521,0,17
Paralichthys,olivaceus,34.75,135.25,1313:245:3,22,20.73,34.34,517,0,9
Paralichthys,olivaceus,34.75,134.75,1313:144:4,13,20.48,33.86,555,0,13
Paralichthys,olivaceus,35.25,141.25,1314:351:1,1787,20.54,34.47,651,0,117
Paralichthys,olivaceus,35.25,140.75,1314:350:2,405,20.55,34.47,796,0,91
Paralichthys,olivaceus,35.25,139.75,1313:459:2,172,20.45,34.43,749,0,15
Paralichthys,olivaceus,35.75,134.75,1313:354:4,162,19.13,33.86,579,0,14
Paralichthys,olivaceus,35.75,134.25,1313:354:3,241,19.13,33.86,539,0,19
Paralichthys,olivaceus,36.25,140.75,1314:360:2,150,19.95,34.2,773,0,18
Paralichthys,olivaceus,36.75,137.25,1313:467:3,51,17.1,33.65,731,0,8
Paralichthys,olivaceus,37.25,143.75,1314:373:2,7119,17.51,34.14,528,0,252
Paralichthys,olivaceus,37.25,138.25,1313:478:1,307,16.1,33.65,812,0,12
Paralichthys,olivaceus,38.25,140.75,1314:380:2,16,16.22,34.02,765,0,1
Paralichthys,olivaceus,39.75,127.75,1312:497:4,44,13.45,33.59,983,0,17
Paralichthys,olivaceus,39.75,139.75,1313:499:4,273,14.9,33.84,745,0,20
Paralichthys,olivaceus,39.75,130.25,1313:390:3,2064,13.7,33.75,485,0,148
Paralichthys,olivaceus,41.75,140.75,1414:110:4,112,12.74,33.34,622,0.02,12
Paralichthys,olivaceus,41.75,140.25,1414:110:3,155,12.74,33.9,604,0.01,6
Paralichthys,olivaceus,45.25,150.75,1415:350:2,2384,5.45,32.9,690,0.00027583,107
Paralichthys,olivaceus,45.25,148.75,1414:458:2,247,5.9,32.81,979,0.03,16
