Mapping parameters for Argyrosomus regius (Meagre),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 133),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Argyrosomus,regius,-5.75,11.75,3001:351:4,165,25.87,29.54,4374,0,96
Argyrosomus,regius,-4.75,10.75,3001:140:4,1907,25.91,31.57,3224,0,129
Argyrosomus,regius,-4.25,11.25,3001:141:1,89,25.82,31.57,2771,0,26
Argyrosomus,regius,-3.75,10.75,3001:130:4,224,25.88,31.57,1847,0,27
Argyrosomus,regius,-1.75,7.75,3000:217:4,2836,26.41,34.04,1229,0,180
Argyrosomus,regius,-0.25,9.25,3000:209:1,31,26.75,33.45,1752,0,19
Argyrosomus,regius,1.25,9.25,1000:219:1,377,27.66,31.11,1690,0,27
Argyrosomus,regius,1.75,9.25,1000:219:3,1196,27.66,31.11,1563,0,83
Argyrosomus,regius,2.75,9.25,1000:229:3,1490,27.83,30.2,1725,0,83
Argyrosomus,regius,3.25,9.75,1000:239:2,61,27.89,30.2,2485,0,26
Argyrosomus,regius,3.25,4.75,1000:134:2,3280,27.92,33.32,663,0,208
Argyrosomus,regius,3.75,-10.25,7001:130:3,4026,28.01,34.82,537,0,208
Argyrosomus,regius,3.75,-5.25,7000:235:3,3912,27.71,34.68,824,0,173
Argyrosomus,regius,4.25,-0.25,7000:140:1,4378,27.35,34.79,765,0,148
Argyrosomus,regius,4.25,6.75,1000:246:2,17,27.94,31.48,1173,0,23
Argyrosomus,regius,4.75,-6.25,7000:246:3,630,27.56,34.58,1598,0,23
Argyrosomus,regius,4.75,-1.75,7000:141:4,43,27.38,34.68,1087,0,24
Argyrosomus,regius,5.25,2.25,1000:352:1,3425,27.61,34.77,711,0,139
Argyrosomus,regius,5.75,-10.25,7001:350:3,310,28.01,34.2,1069,0,27
Argyrosomus,regius,5.75,1.25,1000:351:3,1177,27.45,35.09,946,0,51
Argyrosomus,regius,6.25,-13.75,7001:363:2,4513,28.06,34.22,548,0,249
Argyrosomus,regius,6.25,2.25,1000:362:1,449,27.58,34.77,965,0,20
Argyrosomus,regius,6.25,1.75,1000:361:2,193,27.48,35.09,848,0,16
Argyrosomus,regius,8.25,-13.25,7001:383:1,135,27.6,33.83,1006,0,23
Argyrosomus,regius,8.75,-16.25,7001:486:3,3649,27.54,34.86,606,0,285
Argyrosomus,regius,9.25,-17.75,7001:497:2,2960,27.05,35.06,582,0,331
Argyrosomus,regius,9.75,-13.75,7001:393:4,43,27.39,33.75,1630,0,19
Argyrosomus,regius,11.25,-16.25,7101:216:1,4,26.05,34.66,1543,0,25
Argyrosomus,regius,13.25,-18.25,7101:238:1,3569,25.09,35.38,1246,0,205
Argyrosomus,regius,13.25,-16.75,7101:236:2,24,25.17,35.09,1603,0,16
