Mapping parameters for Chanos chanos (Milkfish),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 344),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Chanos,chanos,-40.75,173.75,3417:103:4,47,15.9,35.02,161,0,21
Chanos,chanos,-37.75,150.25,3315:370:3,1042,18.21,35.54,869,0,82
Chanos,chanos,-37.75,149.75,3314:479:4,95,17.6,35.54,979,0,18
Chanos,chanos,-37.75,144.75,3314:374:4,19,15.72,35.41,632,0,4
Chanos,chanos,-37.25,150.25,3315:370:1,391,18.21,35.54,858,0,22
Chanos,chanos,-37.25,149.75,3314:479:2,9,17.6,35.54,889,0,2
Chanos,chanos,-36.75,150.25,3315:360:3,399,19.09,35.65,856,0,22
Chanos,chanos,-36.75,149.75,3314:469:4,9,18.45,35.65,808,0,2
Chanos,chanos,-36.25,150.75,3315:360:2,3450,19.09,35.65,689,0,67
Chanos,chanos,-36.25,150.25,3315:360:1,300,19.09,35.65,825,0,17
Chanos,chanos,-35.75,150.75,3315:350:4,1722,19.56,35.59,733,0,68
Chanos,chanos,-35.75,150.25,3315:350:3,56,19.56,35.65,829,0,12
Chanos,chanos,-35.25,151.25,3315:351:1,2277,19.98,35.59,678,0,84
Chanos,chanos,-35.25,150.75,3315:350:2,184,19.56,35.59,796,0,20
Chanos,chanos,-35.25,150.25,3315:350:1,9,19.56,35.59,809,0,1
Chanos,chanos,-34.75,151.75,3315:141:4,3958,20.72,35.61,641,0,114
Chanos,chanos,-34.75,151.25,3315:141:3,842,20.72,35.61,708,0,69
Chanos,chanos,-34.75,20.25,3302:140:3,52,18.01,35.34,1362,0,17
Chanos,chanos,-34.75,150.75,3315:140:4,25,20.23,35.61,745,0,9
Chanos,chanos,-34.25,151.75,3315:141:2,1787,20.72,35.61,624,0,85
Chanos,chanos,-34.25,151.25,3315:141:1,181,20.72,35.61,735,0,21
Chanos,chanos,-34.25,150.75,3315:140:2,11,20.23,35.61,801,0,2
Chanos,chanos,-33.75,152.25,3315:132:3,2452,21.36,35.61,619,0,116
Chanos,chanos,-33.75,151.75,3315:131:4,335,21.15,35.61,535,0,69
Chanos,chanos,-33.75,151.25,3315:131:3,38,21.15,35.61,702,0,12
Chanos,chanos,-33.25,124.25,3312:134:1,39,17.99,35.88,506,0,20
Chanos,chanos,-33.25,152.75,3315:132:2,3134,21.36,35.61,597,0,119
Chanos,chanos,-33.25,152.25,3315:132:1,632,21.36,35.61,696,0,85
Chanos,chanos,-33.25,151.75,3315:131:2,80,21.15,35.61,658,0,21
Chanos,chanos,-33.25,151.25,3315:131:1,2,21.15,35.61,538,0,1
Chanos,chanos,-32.75,151.75,3315:121:4,20,21.47,35.61,736,0,5
