Mapping parameters for Mugil cephalus (Flathead grey mullet),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 384),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Mugil,cephalus,-43.75,146.75,3414:236:4,107,13.23,34.88,619,0,18
Mugil,cephalus,-43.25,147.25,3414:237:1,16,13.49,34.88,563,0,14
Mugil,cephalus,-43.25,147.75,3414:237:2,78,13.49,34.88,580,0,17
Mugil,cephalus,-42.75,148.25,3414:228:3,198,14.75,35.16,474,0,20
Mugil,cephalus,-42.75,147.75,3414:227:4,8,14.18,35.16,565,0,9
Mugil,cephalus,-42.25,148.25,3414:228:1,63,14.75,35.16,462,0,18
Mugil,cephalus,-42.25,145.25,3414:225:1,64,13.38,35,608,0,13
Mugil,cephalus,-41.25,146.75,3414:216:2,11,15,35.47,580,0,4
Mugil,cephalus,-41.25,145.75,3414:215:2,40,14.31,35.47,701,0,0
Mugil,cephalus,-41.25,144.75,3414:114:2,58,14.1,35.25,702,0,12
Mugil,cephalus,-40.75,148.25,3414:208:3,30,15.77,35.36,379,0,16
Mugil,cephalus,-40.75,147.75,3414:207:4,40,15.71,35.4,480,0,15
Mugil,cephalus,-40.75,147.25,3414:207:3,47,15.71,35.4,593,0,20
Mugil,cephalus,-40.75,145.75,3414:205:4,49,15.22,35.47,578,0,19
Mugil,cephalus,-40.75,145.25,3414:205:3,12,15.22,35.25,543,0,13
Mugil,cephalus,-40.25,147.75,3414:207:2,41,15.71,35.4,521,0,21
Mugil,cephalus,-40.25,146.25,3414:206:1,74,15.51,35.47,572,0,112
Mugil,cephalus,-39.75,143.75,3314:393:4,70,14.94,35.38,301,0,19
Mugil,cephalus,-39.75,148.25,3314:498:3,24,16.01,35.45,367,0,18
Mugil,cephalus,-39.75,147.75,3314:497:4,29,15.73,35.45,638,0,20
Mugil,cephalus,-38.75,142.75,3314:382:4,74,15.25,35.38,528,0,21
Mugil,cephalus,-38.75,146.75,3314:486:4,17,15.57,35.45,501,0,17
Mugil,cephalus,-38.75,146.25,3314:486:3,14,15.57,35.45,693,0,10
Mugil,cephalus,-38.25,147.75,3314:487:2,42,15.82,35.5,662,0,22
Mugil,cephalus,-38.25,147.25,3314:487:1,18,15.82,35.5,621,0,9
Mugil,cephalus,-38.25,145.75,3314:485:2,4,15.4,35.43,711,0,1
Mugil,cephalus,-38.25,145.25,3314:485:1,10,15.4,35.43,749,0,12
Mugil,cephalus,-37.75,148.25,3314:478:3,31,16.93,35.5,659,0,10
Mugil,cephalus,-37.75,147.75,3314:477:4,9,16.27,35.5,531,0,5
Mugil,cephalus,-37.75,144.75,3314:374:4,19,15.72,35.41,632,0,4
Mugil,cephalus,-37.75,150.25,3315:370:3,1042,18.21,35.54,869,0,82
