Mapping parameters for Thunnus orientalis (Pacific bluefin tuna),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 1454),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Thunnus,orientalis,-48.75,-178.75,5417:488:4,3049,9.83,34.29,312,0,222
Thunnus,orientalis,-48.75,-173.75,5417:383:4,5339,10.96,34.54,435,0,567
Thunnus,orientalis,-48.75,178.75,3417:488:4,776,9.2,34.26,341,0,148
Thunnus,orientalis,-48.75,-168.75,5416:488:4,5293,10.67,34.6,409,0,798
Thunnus,orientalis,-48.75,173.75,3417:383:4,667,9.29,34.39,363,0,409
Thunnus,orientalis,-48.75,168.75,3416:488:4,692,10.07,34.51,385,0,208
Thunnus,orientalis,-48.75,163.75,3416:383:4,4294,10.51,34.62,401,0,285
Thunnus,orientalis,-48.75,158.75,3415:488:4,4769,9.94,34.54,383,0,586
Thunnus,orientalis,-48.75,153.75,3415:383:4,4294,9.91,34.52,343,0,739
Thunnus,orientalis,-47.75,177.75,3417:477:4,956,9.68,34.29,438,0,150
Thunnus,orientalis,-47.75,172.75,3417:372:4,1362,9.73,34.4,490,0,290
Thunnus,orientalis,-47.75,167.75,3416:477:4,123,11.05,34.58,168,0,93
Thunnus,orientalis,-47.75,162.75,3416:372:4,4295,10.93,34.66,404,0,336
Thunnus,orientalis,-43.75,153.75,3415:133:4,4688,13.41,35.06,466,0,495
Thunnus,orientalis,-43.75,-178.75,5417:238:4,424,13.41,34.77,779,0,201
Thunnus,orientalis,-43.75,-173.75,5417:133:4,1518,13.67,34.9,596,0,241
Thunnus,orientalis,-43.75,-108.75,5410:238:4,3164,11.49,34.05,257,0,1875
Thunnus,orientalis,-43.75,-98.75,5409:238:4,3851,11.16,33.95,241,0,1864
Thunnus,orientalis,-43.75,178.75,3417:238:4,477,13.15,34.72,989,0,386
Thunnus,orientalis,-43.75,173.75,3417:133:4,106,12.32,34.5,992,0,80
Thunnus,orientalis,-43.75,168.75,3416:238:4,575,14.46,34.74,703,0,18
Thunnus,orientalis,-43.75,163.75,3416:133:4,4738,13.36,35.01,496,0,331
Thunnus,orientalis,-43.75,158.75,3415:238:4,4747,13.31,34.98,461,0,696
Thunnus,orientalis,-42.75,157.75,3415:227:4,4744,14.12,35.1,483,0,801
Thunnus,orientalis,-42.75,152.75,3415:122:4,4616,14.44,35.2,497,0,393
Thunnus,orientalis,-42.75,-177.75,5417:227:4,968,14.39,34.97,712,0,178
Thunnus,orientalis,-42.75,-107.75,5410:227:4,3247,12.15,34.03,261,0,1770
Thunnus,orientalis,-42.75,177.75,3417:227:4,881,14.25,34.91,937,0,249
Thunnus,orientalis,-42.75,171.25,3417:121:3,31,14.94,34.81,738,0,2
