Mapping parameters for Trachinotus blochii (Snubnose pompano),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 167),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Trachinotus,blochii,-33.75,151.25,3315:131:3,38,21.15,35.61,702,0,12
Trachinotus,blochii,-33.25,151.75,3315:131:2,80,21.15,35.61,658,0,21
Trachinotus,blochii,-33.25,124.25,3312:134:1,39,17.99,35.88,506,0,20
Trachinotus,blochii,-31.75,159.25,3315:219:3,1595,21.35,35.78,339,0,23
Trachinotus,blochii,-29.75,31.25,3203:391:3,167,23.94,35.34,874,0,20
Trachinotus,blochii,-29.25,167.75,3216:497:2,1244,21.2,35.81,334,0,24
Trachinotus,blochii,-29.25,31.75,3203:391:2,74,23.94,35.34,1236,0,22
Trachinotus,blochii,-28.25,32.75,3203:382:2,872,24.35,35.29,612,0,24
Trachinotus,blochii,-28.25,32.25,3203:382:1,45,24.35,35.29,657,0,1
Trachinotus,blochii,-27.25,153.25,3215:373:1,11,23.83,35.36,715,0,17
Trachinotus,blochii,-26.75,77.25,3207:467:3,4188,22.25,35.72,154,0,1274
Trachinotus,blochii,-26.75,32.75,3203:362:4,73,24.73,35.16,651,0,5
Trachinotus,blochii,-26.25,153.25,3215:363:1,46,24.05,35.36,230,0,20
Trachinotus,blochii,-24.25,151.75,3215:141:2,12,24.57,35.45,451,0,5
Trachinotus,blochii,-23.25,151.75,3215:131:2,9,24.65,35.45,147,0,97
Trachinotus,blochii,-23.25,43.75,3204:133:2,407,26.04,35.36,727,0,10
Trachinotus,blochii,-22.75,150.75,3215:120:4,18,24.67,35.38,712,0,12
Trachinotus,blochii,-22.25,166.25,3216:226:1,791,24.68,35.63,449,0,22
Trachinotus,blochii,-22.25,114.25,3211:124:1,27,25.55,35.09,1089,0,18
Trachinotus,blochii,-21.25,165.75,3216:215:2,305,25.11,35.31,485,0,15
Trachinotus,blochii,-21.25,150.75,3215:110:2,12,25,35.27,519,0,104
Trachinotus,blochii,-21.25,149.25,3214:219:1,13,24.86,35.11,267,0,12
Trachinotus,blochii,-21.25,-159.75,5215:219:2,3091,25.53,35.56,170,0,26
Trachinotus,blochii,-20.75,55.75,3205:205:4,1984,25.63,35.11,224,0,23
Trachinotus,blochii,-20.75,55.25,3205:205:3,1880,25.63,35.11,225,0,23
Trachinotus,blochii,-20.25,149.25,3214:209:1,26,25.38,35.11,81,0,92
Trachinotus,blochii,-20.25,118.75,3211:208:2,15,26.78,35.13,670,0,15
Trachinotus,blochii,-20.25,116.75,3211:206:2,31,26.66,35.02,739,0,85
Trachinotus,blochii,-20.25,57.75,3205:207:2,1027,25.46,34.99,243,0,15
Trachinotus,blochii,-20.25,57.25,3205:207:1,2965,25.46,34.99,227,0,23
