Mapping parameters for Sciaenops ocellatus (Red drum),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 125),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Sciaenops,ocellatus,18.25,-94.25,7109:384:1,27,26.55,36.08,1129,0,16
Sciaenops,ocellatus,18.75,-92.25,7109:382:3,13,26.96,36.11,843,0,16
Sciaenops,ocellatus,22.25,-97.75,7209:227:2,18,26.02,36.52,372,0,15
Sciaenops,ocellatus,24.75,-97.75,7209:247:4,7,25.49,36.4,600,0,12
Sciaenops,ocellatus,24.75,-80.75,7208:140:4,98,26.74,36.18,1579,0,25
Sciaenops,ocellatus,25.25,-81.25,7208:351:1,5,26.38,36.13,1263,0,23
Sciaenops,ocellatus,25.25,-80.75,7208:350:2,1,26.56,36.18,507,0,12
Sciaenops,ocellatus,25.75,-81.75,7208:351:4,13,26.38,35.97,1078,0,25
Sciaenops,ocellatus,25.75,-81.25,7208:351:3,4,26.38,35.97,1116,0,13
Sciaenops,ocellatus,25.75,-80.25,7208:350:3,41,26.56,36.27,533,0,12
Sciaenops,ocellatus,26.25,-97.25,7209:467:1,9,24.61,35.09,716,0,15
Sciaenops,ocellatus,26.25,-82.25,7208:362:1,18,25.44,35.97,1061,0,75
Sciaenops,ocellatus,26.75,-97.25,7209:467:3,21,24.61,35.09,844,0,22
Sciaenops,ocellatus,26.75,-82.25,7208:362:3,8,25.44,35.86,983,0,23
Sciaenops,ocellatus,26.75,-81.75,7208:361:4,1,25.92,35.97,784,0,2
Sciaenops,ocellatus,26.75,-80.25,7208:360:3,40,26.39,36.18,494,0,2
Sciaenops,ocellatus,27.25,-97.75,7209:477:2,1,24.26,34.61,873,0,2
Sciaenops,ocellatus,27.25,-97.25,7209:477:1,14,24.26,34.61,906,0,22
Sciaenops,ocellatus,27.25,-96.75,7209:476:2,55,24.36,34.61,674,0,89
Sciaenops,ocellatus,27.25,-83.25,7208:373:1,35,24.88,35.72,761,0,99
Sciaenops,ocellatus,27.25,-82.75,7208:372:2,13,24.88,35.72,939,0,24
Sciaenops,ocellatus,27.25,-82.25,7208:372:1,5,24.88,35.72,848,0,3
Sciaenops,ocellatus,27.25,-80.25,7208:370:1,8,26.13,36.27,490,0,10
Sciaenops,ocellatus,27.75,-97.25,7209:477:3,10,24.26,34.61,1256,0,14
Sciaenops,ocellatus,27.75,-96.75,7209:476:4,25,24.36,34.61,838,0,74
Sciaenops,ocellatus,27.75,-96.25,7209:476:3,69,24.36,34.61,544,0,105
Sciaenops,ocellatus,27.75,-82.75,7208:372:4,6,24.88,35.72,1223,0,22
Sciaenops,ocellatus,27.75,-82.25,7208:372:3,1,24.88,35.72,885,0,3
