Mapping parameters for Pagrus pagrus (Red porgy),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 277),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Pagrus,pagrus,-43.25,-22.75,5402:132:2,4237,11.07,34.53,477,0,1152
Pagrus,pagrus,-42.75,-62.25,5406:122:3,81,13.79,33.57,1412,0,163
Pagrus,pagrus,-42.25,-22.75,5402:122:2,4064,12.02,34.69,461,0,1096
Pagrus,pagrus,-42.25,-23.25,5402:123:1,4105,12.1,34.71,493,0,1132
Pagrus,pagrus,-42.25,-64.25,5406:124:1,29,13.87,33.88,1171,0,15
Pagrus,pagrus,-41.25,-61.25,5406:111:1,44,14.41,33.66,1237,0,143
Pagrus,pagrus,-41.25,-61.75,5406:111:2,47,14.41,33.66,1180,0,112
Pagrus,pagrus,-40.75,-60.75,5406:100:4,47,14.82,33.68,1179,0,157
Pagrus,pagrus,-40.75,-61.25,5406:101:3,38,15.59,33.68,1028,0,117
Pagrus,pagrus,-40.25,-60.75,5406:100:2,43,14.82,33.68,997,0,149
Pagrus,pagrus,-39.25,-59.75,5305:499:2,40,14.51,33.66,1143,0,90
Pagrus,pagrus,-38.75,-58.75,5305:488:4,29,13.72,33.7,801,0,19
Pagrus,pagrus,-38.25,-56.75,5305:486:2,62,13.05,33.27,977,0,114
Pagrus,pagrus,-37.75,-56.75,5305:476:4,34,14.38,32.38,1304,0,82
Pagrus,pagrus,-37.75,-57.25,5305:477:3,16,14.17,32.38,1455,0,18
Pagrus,pagrus,-37.25,-54.25,5305:374:1,713,15.57,33.28,1493,0,250
Pagrus,pagrus,-37.25,-56.75,5305:476:2,11,14.38,32.38,2441,0,20
Pagrus,pagrus,-37.25,-55.25,5305:475:1,83,14.8,32.59,1664,0,164
Pagrus,pagrus,-36.75,-56.25,5305:466:3,14,15.69,29.79,3612,0,67
Pagrus,pagrus,-36.25,-54.25,5305:364:1,54,16.45,32.38,1728,0,200
Pagrus,pagrus,-36.25,-54.75,5305:364:2,48,16.45,32.38,2137,0,200
Pagrus,pagrus,-35.75,-54.75,5305:354:4,30,16.92,31.57,2694,0,144
Pagrus,pagrus,-35.75,-55.25,5305:455:3,25,16.28,29.5,3039,0,144
Pagrus,pagrus,-35.75,-56.25,5305:456:3,14,16.36,27.12,4129,0,113
Pagrus,pagrus,-35.75,-53.25,5305:353:3,117,17.72,32.76,1681,0,167
Pagrus,pagrus,-35.75,-55.75,5305:455:4,19,16.28,29.5,3674,0,144
Pagrus,pagrus,-35.75,-52.75,5305:352:4,717,18.52,33.59,1159,0,193
Pagrus,pagrus,-35.75,-53.75,5305:353:4,62,17.72,32.75,1916,0,150
Pagrus,pagrus,-35.75,-54.25,5305:354:3,45,16.92,31.57,2266,0,144
