Mapping parameters for Salmo salar (Atlantic salmon),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 726),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Salmo,salar,39.25,-74.25,7307:394:1,22,12.52,33.02,1299,0,21
Salmo,salar,39.25,-69.25,7306:499:1,2802,15.97,34.24,720,0,270
Salmo,salar,39.75,12.75,1301:392:4,3382,19.19,37.85,365,0,183
Salmo,salar,40.25,-74.25,7407:104:1,1,12.36,33.02,1389,0.00063548,1
Salmo,salar,40.25,-10.75,7401:100:2,4784,16.74,35.82,512,0,182
Salmo,salar,40.75,-8.75,7400:208:4,29,16.28,35.68,1611,0,14
Salmo,salar,40.75,-74.25,7407:104:3,5,12.36,33.02,1655,0.00167564,3
Salmo,salar,40.75,-72.25,7407:102:3,37,12.66,32.47,1379,0.01,20
Salmo,salar,40.75,14.25,1401:104:3,285,19.35,37.95,531,0,15
Salmo,salar,40.75,1.25,1400:101:3,157,18.89,37.81,526,0,63
Salmo,salar,41.25,-70.75,7407:110:2,33,10.91,33.15,1692,0.00163833,19
Salmo,salar,41.25,2.75,1400:112:2,1160,17.98,38.08,495,0,79
Salmo,salar,41.25,2.25,1400:112:1,491,17.98,37.74,624,0,18
Salmo,salar,41.25,1.75,1400:111:2,270,18.36,37.81,694,0,11
Salmo,salar,41.75,-8.75,7400:218:4,43,16.06,35.74,1210,0,9
Salmo,salar,41.75,-70.75,7407:110:4,7,10.91,32.29,1292,0.01,7
Salmo,salar,41.75,-70.25,7407:110:3,15,10.91,32.29,1154,0.02,16
Salmo,salar,41.75,3.25,1400:113:3,276,17.63,38.08,516,0,18
Salmo,salar,41.75,2.75,1400:112:4,162,17.98,38.08,538,0,8
Salmo,salar,42.25,-8.75,7400:228:2,29,15.78,35.59,1157,0,11
Salmo,salar,42.25,-71.25,7407:121:1,2,10.56,31.89,1540,0.02,0
Salmo,salar,42.25,3.75,1400:123:2,878,16.75,37.88,526,0,62
Salmo,salar,42.75,-8.75,7400:228:4,1,15.78,35.59,1151,0,4
Salmo,salar,43.25,-4.75,7400:134:2,84,16.02,35.47,1269,0,2
Salmo,salar,43.25,-4.25,7400:134:1,42,16.02,35.47,1061,0,3
Salmo,salar,43.25,-3.75,7400:133:2,1,16.08,35.31,1146,0,1
Salmo,salar,43.25,-3.25,7400:133:1,41,16.08,35.31,1262,0,3
Salmo,salar,43.25,-2.75,7400:132:2,23,16.07,35.09,1205,0,3
Salmo,salar,43.25,-2.25,7400:132:1,49,16.07,35.09,821,0,6
Salmo,salar,43.25,-70.25,7407:130:1,89,9.29,31.89,2053,0.05,19
Salmo,salar,43.25,-1.75,7400:131:2,65,16.04,35.09,928,0,4
