Mapping parameters for Dicentrarchus labrax (European seabass),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 282),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Dicentrarchus,labrax,14.75,-17.25,7101:247:3,66,24.51,35.68,2415,0,19
Dicentrarchus,labrax,18.75,-16.25,7101:486:3,111,22.2,35.9,3781,0,21
Dicentrarchus,labrax,25.75,-14.75,7201:354:4,98,19.95,36.52,1814,0,20
Dicentrarchus,labrax,28.25,-14.25,7201:384:1,874,20.47,36.54,592,0,21
Dicentrarchus,labrax,31.25,29.75,1302:219:2,162,21.36,38.86,668,0,22
Dicentrarchus,labrax,31.25,17.25,1301:217:1,78,21.21,38.27,354,0,17
Dicentrarchus,labrax,32.25,34.75,1303:124:2,242,22.07,39,443,0,17
Dicentrarchus,labrax,32.75,-9.25,7300:229:3,131,19.49,36.59,904,0,20
Dicentrarchus,labrax,32.75,27.75,1302:227:4,3141,21.11,38.93,301,0,192
Dicentrarchus,labrax,33.25,-8.25,7300:238:1,82,19.84,36.5,1007,0,6
Dicentrarchus,labrax,33.75,35.25,1303:235:3,1284,21.83,39,343,0,22
Dicentrarchus,labrax,34.25,26.25,1302:246:1,3136,20.15,39.02,291,0,153
Dicentrarchus,labrax,34.25,10.75,1301:140:2,34,21.03,37.49,668,0,69
Dicentrarchus,labrax,34.75,-6.75,7300:246:4,357,19.61,36.43,687,0,49
Dicentrarchus,labrax,35.25,32.25,1303:352:1,1708,21.49,39.11,328,0,22
Dicentrarchus,labrax,35.25,26.25,1302:456:1,350,19.72,39.04,359,0,18
Dicentrarchus,labrax,35.25,25.75,1302:455:2,202,19.65,39.04,357,0,14
Dicentrarchus,labrax,35.25,25.25,1302:455:1,106,19.65,39.02,356,0,7
Dicentrarchus,labrax,35.25,24.75,1302:354:2,239,19.67,38.97,351,0,7
Dicentrarchus,labrax,35.25,35.75,1303:455:2,863,21.91,39.04,353,0,21
Dicentrarchus,labrax,35.25,-2.75,7300:352:2,110,18.72,36.49,606,0,15
Dicentrarchus,labrax,35.25,32.75,1303:352:2,609,21.49,39.11,337,0,14
Dicentrarchus,labrax,35.75,14.25,1301:354:3,585,20.33,37.72,373,0,22
Dicentrarchus,labrax,35.75,-0.75,7300:350:4,1162,19.1,37.29,570,0,12
Dicentrarchus,labrax,36.25,14.25,1301:364:1,394,20.08,37.59,374,0,22
Dicentrarchus,labrax,36.25,10.25,1301:360:1,2,19.4,37.34,570,0,1
Dicentrarchus,labrax,36.25,-5.75,7300:465:2,142,18.65,36.5,1082,0,6
Dicentrarchus,labrax,36.25,-5.25,7300:465:1,395,18.65,36.5,1372,0,15
Dicentrarchus,labrax,36.75,10.25,1301:360:3,35,19.4,37.34,465,0,4
