Mapping parameters for Pagrus auratus (Silver seabream),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 922),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Pagrus,auratus,-46.75,168.75,3416:468:4,54,10.94,34.5,599,0,17
Pagrus,auratus,-43.75,173.25,3417:133:3,56,12.32,34.5,885,0,19
Pagrus,auratus,-43.75,169.75,3416:239:4,53,14.62,34.9,759,0,1
Pagrus,auratus,-43.75,169.25,3416:239:3,228,14.62,34.74,755,0,9
Pagrus,auratus,-43.75,147.75,3414:237:4,422,13.49,34.88,617,0,96
Pagrus,auratus,-43.75,173.25,3417:133:3,56,12.32,34.5,885,0,19
Pagrus,auratus,-43.75,169.75,3416:239:4,53,14.62,34.9,759,0,1
Pagrus,auratus,-43.75,169.25,3416:239:3,228,14.62,34.74,755,0,9
Pagrus,auratus,-43.25,173.25,3417:133:1,53,12.32,34.5,747,0,20
Pagrus,auratus,-43.25,172.75,3417:132:2,30,11.89,34.5,498,0,9
Pagrus,auratus,-43.25,173.25,3417:133:1,53,12.32,34.5,747,0,20
Pagrus,auratus,-43.25,172.75,3417:132:2,30,11.89,34.5,498,0,9
Pagrus,auratus,-42.75,173.75,3417:123:4,695,13.05,34.77,1021,0,49
Pagrus,auratus,-42.75,173.25,3417:123:3,57,13.05,34.5,638,0,7
Pagrus,auratus,-42.75,171.25,3417:121:3,31,14.94,34.81,738,0,2
Pagrus,auratus,-42.75,170.75,3417:120:4,133,14.91,34.81,1046,0,16
Pagrus,auratus,-42.75,173.75,3417:123:4,695,13.05,34.77,1021,0,49
Pagrus,auratus,-42.75,173.25,3417:123:3,57,13.05,34.5,638,0,7
Pagrus,auratus,-42.75,171.25,3417:121:3,31,14.94,34.81,738,0,2
Pagrus,auratus,-42.75,170.75,3417:120:4,133,14.91,34.81,1046,0,16
Pagrus,auratus,-42.25,170.75,3417:120:2,265,14.91,34.81,955,0,62
Pagrus,auratus,-42.25,178.75,3417:228:2,2308,14.31,34.92,828,0,277
Pagrus,auratus,-42.25,174.25,3417:124:1,909,13.63,34.77,1098,0,49
Pagrus,auratus,-42.25,178.75,3417:228:2,2308,14.31,34.92,828,0,277
Pagrus,auratus,-42.25,173.75,3417:123:2,311,13.05,34.77,883,0,10
Pagrus,auratus,-42.25,171.25,3417:121:1,85,14.94,34.81,885,0,13
Pagrus,auratus,-42.25,170.75,3417:120:2,265,14.91,34.81,955,0,62
Pagrus,auratus,-42.25,174.25,3417:124:1,909,13.63,34.77,1098,0,49
Pagrus,auratus,-42.25,148.25,3414:228:1,63,14.75,35.16,462,0,18
Pagrus,auratus,-42.25,173.75,3417:123:2,311,13.05,34.77,883,0,10
Pagrus,auratus,-42.25,171.25,3417:121:1,85,14.94,34.81,885,0,13
