Mapping parameters for Thunnus maccoyii (Southern bluefin tuna),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 758),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Thunnus,maccoyii,-58.75,148.75,3514:488:4,2973,0.85,33.86,229,0.00047,782
Thunnus,maccoyii,-58.75,143.75,3514:383:4,3776,1.7,33.82,217,0.00002667,909
Thunnus,maccoyii,-58.75,178.75,3517:488:4,4890,4.57,34.05,212,0.000055,921
Thunnus,maccoyii,-58.75,173.75,3517:383:4,5197,5.2,34.02,199,0.00006833,753
Thunnus,maccoyii,-57.75,147.75,3514:477:4,2911,1.31,33.83,234,0,786
Thunnus,maccoyii,-57.75,172.75,3517:372:4,5313,5.82,34.04,225,0,628
Thunnus,maccoyii,-53.75,153.75,3515:133:4,4095,6.34,34.01,269,0.000055,364
Thunnus,maccoyii,-53.75,-178.75,5517:238:4,5361,7.94,34.23,315,0,510
Thunnus,maccoyii,-53.75,148.75,3514:238:4,3932,5.61,33.95,257,0.00011,688
Thunnus,maccoyii,-53.75,143.75,3514:133:4,2856,3.88,33.9,264,0.00001333,1012
Thunnus,maccoyii,-53.75,138.75,3513:238:4,3466,4.48,33.93,247,0.00005417,1272
Thunnus,maccoyii,-53.75,178.75,3517:238:4,5058,7.36,34.2,301,0,478
Thunnus,maccoyii,-53.75,173.75,3517:133:4,3222,7.33,34.25,296,0,352
Thunnus,maccoyii,-53.75,168.75,3516:238:4,848,7.97,34.29,298,0,149
Thunnus,maccoyii,-53.75,-163.75,5516:133:4,4968,7.17,34.2,312,0,1313
Thunnus,maccoyii,-53.75,-173.75,5517:133:4,5298,7.89,34.23,306,0,714
Thunnus,maccoyii,-53.75,163.75,3516:133:4,4435,7.72,34.23,301,0,364
Thunnus,maccoyii,-52.75,-172.75,5517:122:4,5534,8.39,34.29,334,0,712
Thunnus,maccoyii,-52.75,162.75,3516:122:4,4047,8.2,34.31,313,0,337
Thunnus,maccoyii,-52.75,-177.75,5517:227:4,5370,8.33,34.27,332,0,447
Thunnus,maccoyii,-52.75,152.75,3515:122:4,4223,7.05,34.06,280,0,464
Thunnus,maccoyii,-52.75,147.75,3514:227:4,3912,6.6,34.02,271,0.0000275,779
Thunnus,maccoyii,-52.75,177.75,3517:227:4,4897,7.42,34.23,300,0,374
Thunnus,maccoyii,-52.75,172.75,3517:122:4,345,7.92,34.31,242,0,269
Thunnus,maccoyii,-52.75,-162.75,5516:122:4,4734,8.1,34.3,319,0,1360
Thunnus,maccoyii,-52.75,167.75,3516:227:4,959,8.47,34.36,289,0,135
Thunnus,maccoyii,-50.25,166.25,3516:206:1,349,9.14,34.5,428,0,91
Thunnus,maccoyii,-49.75,166.25,3416:496:3,465,9.81,34.54,391,0,147
