Mapping parameters for Oncorhynchus mykiss (Rainbow trout),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 123),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Oncorhynchus,mykiss,32.75,-117.25,7311:227:3,417,17.36,33.5,1056,0,17
Oncorhynchus,mykiss,33.75,-118.25,7311:238:3,435,16.72,33.47,1489,0,15
Oncorhynchus,mykiss,33.75,-117.75,7311:237:4,279,17.21,33.5,1438,0,3
Oncorhynchus,mykiss,34.25,-122.25,7312:142:1,3985,14.98,33.24,727,0,191
Oncorhynchus,mykiss,34.25,-120.25,7312:140:1,253,15.27,33.38,1617,0,22
Oncorhynchus,mykiss,34.25,-119.75,7311:249:2,236,15.43,33.47,1617,0,19
Oncorhynchus,mykiss,34.25,-119.25,7311:249:1,157,15.43,33.47,1403,0,12
Oncorhynchus,mykiss,34.25,-118.75,7311:248:2,167,16.08,33.47,1505,0,3
Oncorhynchus,mykiss,34.25,-118.25,7311:248:1,6,16.08,33.47,1457,0,0
Oncorhynchus,mykiss,34.75,-120.25,7312:140:3,11,15.27,33.29,1374,0,0
Oncorhynchus,mykiss,34.75,135.25,1313:245:3,22,20.73,34.34,517,0,9
Oncorhynchus,mykiss,35.25,-120.75,7312:350:2,150,14.93,33.29,1249,0,12
Oncorhynchus,mykiss,35.75,-121.25,7312:351:3,332,14.6,33.22,1241,0,12
Oncorhynchus,mykiss,36.25,-121.75,7312:361:2,664,13.96,33.29,1198,0,13
Oncorhynchus,mykiss,36.75,-122.25,7312:362:3,1365,13.43,33.29,1573,0,22
Oncorhynchus,mykiss,36.75,-121.75,7312:361:4,200,13.96,33.29,1465,0,8
Oncorhynchus,mykiss,37.25,-122.25,7312:372:1,72,12.93,33.29,1613,0,8
Oncorhynchus,mykiss,37.75,-122.75,7312:372:4,71,12.93,33.18,2002,0,20
Oncorhynchus,mykiss,37.75,-122.25,7312:372:3,37,12.93,33.18,1827,0,9
Oncorhynchus,mykiss,38.25,-123.25,7312:383:1,157,12.75,33.18,2114,0,21
Oncorhynchus,mykiss,38.25,-122.75,7312:382:2,26,12.83,33.18,1946,0,2
Oncorhynchus,mykiss,38.25,-122.25,7312:382:1,15,12.83,33.18,1824,0,3
Oncorhynchus,mykiss,38.25,140.75,1314:380:2,16,16.22,34.02,765,0,1
Oncorhynchus,mykiss,38.75,-123.25,7312:383:3,87,12.75,32.81,1742,0,5
Oncorhynchus,mykiss,39.25,-123.75,7312:393:2,222,12.42,32.88,1761,0,12
Oncorhynchus,mykiss,39.25,139.75,1313:499:2,228,14.9,33.84,764,0,20
Oncorhynchus,mykiss,39.75,-123.75,7312:393:4,172,12.42,32.88,1815,0,9
