Mapping parameters for Thunnus thynnus (Atlantic bluefin tuna),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 1407),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Thunnus,thynnus,-43.75,-53.75,5405:133:4,5674,13.74,34.6,620,0,721
Thunnus,thynnus,-43.75,-48.75,5404:238:4,5268,12.71,34.67,636,0,1011
Thunnus,thynnus,-43.75,-43.75,5404:133:4,5152,11.21,34.45,634,0,1222
Thunnus,thynnus,-43.75,-28.75,5402:238:4,4677,10.83,34.56,573,0,1313
Thunnus,thynnus,-43.75,-8.75,5400:238:4,3833,9.9,34.37,418,0,438
Thunnus,thynnus,-43.75,-3.75,5400:133:4,4102,9.37,34.32,380,0,670
Thunnus,thynnus,-43.75,18.75,3401:238:4,4802,10.71,34.62,467,0,1040
Thunnus,thynnus,-43.75,13.75,3401:133:4,4681,9.94,34.42,407,0,1147
Thunnus,thynnus,-43.75,8.75,3400:238:4,4437,8.68,34.18,393,0,1274
Thunnus,thynnus,-43.75,3.75,3400:133:4,4406,9.25,34.24,387,0,1208
Thunnus,thynnus,-41.25,-55.25,5405:215:1,4310,12.05,34.28,791,0,427
Thunnus,thynnus,-40.25,-62.25,5406:102:1,7,15.93,33.68,1559,0,14
Thunnus,thynnus,-38.75,18.75,3301:488:4,4845,18.93,35.41,739,0,487
Thunnus,thynnus,-38.75,13.75,3301:383:4,3034,16.57,35.22,440,0,685
Thunnus,thynnus,-38.75,-8.75,5300:488:4,3351,13.85,34.91,613,0,231
Thunnus,thynnus,-38.75,3.75,3300:383:4,5090,13.89,34.68,401,0,1212
Thunnus,thynnus,-38.75,-53.75,5305:383:4,3048,15.68,34.42,820,0,355
Thunnus,thynnus,-38.75,-48.75,5304:488:4,5313,17.64,35.57,463,0,680
Thunnus,thynnus,-38.75,-43.75,5304:383:4,5123,16.88,35.18,454,0,1041
Thunnus,thynnus,-38.75,-38.75,5303:488:4,5143,16.43,35.17,397,0,1416
Thunnus,thynnus,-38.75,-33.75,5303:383:4,4938,16,35.25,416,0,1732
Thunnus,thynnus,-37.25,21.25,3302:371:1,3832,20.12,35.4,838,0,336
Thunnus,thynnus,-36.75,-52.25,5305:362:3,3219,18.22,34.26,391,0,309
Thunnus,thynnus,-34.75,20.25,3302:140:3,52,18.01,35.34,1362,0,17
Thunnus,thynnus,-34.75,17.75,3301:247:4,1966,17.7,35.47,871,0,118
Thunnus,thynnus,-34.75,-54.25,5305:144:3,28,17.34,32.27,2870,0,16
Thunnus,thynnus,-34.25,18.75,3301:248:2,66,17.47,35.47,2409,0,18
Thunnus,thynnus,-34.25,18.25,3301:248:1,202,17.47,35.47,1887,0,21
Thunnus,thynnus,-33.75,-33.75,5303:133:4,4397,18.99,35.67,244,0,1498
