Mapping parameters for Scophthalmus rhombus (Brill),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 451),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Scophthalmus,rhombus,30.75,-9.75,7300:209:4,106,19.06,36.36,1630,0,12
Scophthalmus,rhombus,31.25,29.75,1302:219:2,162,21.36,38.86,668,0,22
Scophthalmus,rhombus,31.25,17.25,1301:217:1,78,21.21,38.27,354,0,17
Scophthalmus,rhombus,32.25,34.75,1303:124:2,242,22.07,39,443,0,17
Scophthalmus,rhombus,32.75,-9.25,7300:229:3,131,19.49,36.59,904,0,20
Scophthalmus,rhombus,33.75,35.25,1303:235:3,1284,21.83,39,343,0,22
Scophthalmus,rhombus,34.25,10.75,1301:140:2,34,21.03,37.49,668,0,69
Scophthalmus,rhombus,35.25,35.75,1303:455:2,863,21.91,39.04,353,0,21
Scophthalmus,rhombus,35.25,32.75,1303:352:2,609,21.49,39.11,337,0,14
Scophthalmus,rhombus,35.25,-2.75,7300:352:2,110,18.72,36.49,606,0,15
Scophthalmus,rhombus,35.75,-0.75,7300:350:4,1162,19.1,37.29,570,0,12
Scophthalmus,rhombus,35.75,14.25,1301:354:3,585,20.33,37.72,373,0,22
Scophthalmus,rhombus,36.25,-5.25,7300:465:1,395,18.65,36.5,1372,0,15
Scophthalmus,rhombus,36.75,30.75,1303:360:4,587,21.17,39.11,413,0,15
Scophthalmus,rhombus,36.75,29.25,1302:469:3,181,20.82,39.13,274,0,3
Scophthalmus,rhombus,37.25,10.25,1301:370:1,52,19.25,37.34,412,0,17
Scophthalmus,rhombus,37.75,24.25,1302:374:3,130,18.95,38.47,339,0,20
Scophthalmus,rhombus,37.75,23.75,1302:373:4,110,19.13,38.47,461,0,18
Scophthalmus,rhombus,38.25,-0.25,7300:380:1,224,18.93,37.5,429,0,21
Scophthalmus,rhombus,38.25,27.25,1302:487:1,23,18.73,38.84,792,0,3
Scophthalmus,rhombus,38.25,15.75,1301:485:2,360,19.57,38.11,462,0,11
Scophthalmus,rhombus,38.25,0.25,1300:380:1,439,19.15,37.5,396,0,81
Scophthalmus,rhombus,38.75,0.25,1300:380:3,129,19.15,37.5,410,0,18
Scophthalmus,rhombus,39.25,-0.25,7300:390:1,31,18.79,37.75,476,0,11
Scophthalmus,rhombus,39.25,0.25,1300:390:1,536,19.03,37.75,457,0,65
Scophthalmus,rhombus,39.75,0.25,1300:390:3,192,19.03,37.75,490,0,49
Scophthalmus,rhombus,40.25,5.25,1400:205:1,2819,18.5,37.68,415,0,127
Scophthalmus,rhombus,40.25,0.75,1400:100:2,65,18.98,37.81,555,0,49
Scophthalmus,rhombus,40.25,23.25,1402:103:1,61,18.14,37.34,461,0,13
