Mapping parameters for Pseudocaranx dentex (White trevally),,,,,,,,,,
,,,,,,,,,,
"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2016. AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2016. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Occurrence cells used for creating environmental envelope (n = 475),,,,,,,,,,
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Pseudocaranx,dentex,-46.75,168.75,3416:468:4,54,10.94,34.5,599,0,17
Pseudocaranx,dentex,-44.25,172.25,3417:142:1,74,11.39,34.36,513,0,78
Pseudocaranx,dentex,-44.25,171.75,3417:141:2,48,11.09,34.36,513,0,18
Pseudocaranx,dentex,-44.25,146.75,3414:246:2,1583,12.77,34.84,606,0,95
Pseudocaranx,dentex,-44.25,146.25,3414:246:1,1798,12.77,34.84,606,0,95
Pseudocaranx,dentex,-43.75,169.75,3416:239:4,53,14.62,34.9,759,0,1
Pseudocaranx,dentex,-43.75,169.25,3416:239:3,228,14.62,34.74,755,0,9
Pseudocaranx,dentex,-43.75,147.75,3414:237:4,422,13.49,34.88,617,0,96
Pseudocaranx,dentex,-43.75,146.75,3414:236:4,107,13.23,34.88,619,0,18
Pseudocaranx,dentex,-43.25,173.25,3417:133:1,53,12.32,34.5,747,0,20
Pseudocaranx,dentex,-43.25,169.75,3416:239:2,231,14.62,34.9,690,0,19
Pseudocaranx,dentex,-43.25,147.75,3414:237:2,78,13.49,34.88,580,0,17
Pseudocaranx,dentex,-43.25,147.25,3414:237:1,16,13.49,34.88,563,0,14
Pseudocaranx,dentex,-43.25,145.25,3414:235:1,1406,13.12,34.88,685,0,78
Pseudocaranx,dentex,-42.75,173.25,3417:123:3,57,13.05,34.5,638,0,7
Pseudocaranx,dentex,-42.75,171.25,3417:121:3,31,14.94,34.81,738,0,2
Pseudocaranx,dentex,-42.75,170.75,3417:120:4,133,14.91,34.81,1046,0,16
Pseudocaranx,dentex,-42.75,170.25,3417:120:3,233,14.91,34.81,1080,0,78
Pseudocaranx,dentex,-42.75,148.25,3414:228:3,198,14.75,35.16,474,0,20
Pseudocaranx,dentex,-42.75,147.75,3414:227:4,8,14.18,35.16,565,0,9
Pseudocaranx,dentex,-42.75,147.25,3414:227:3,1,14.18,34.88,507,0,2
Pseudocaranx,dentex,-42.25,178.75,3417:228:2,2308,14.31,34.92,828,0,277
Pseudocaranx,dentex,-42.25,144.75,3414:124:2,956,13.48,35,522,0,79
Pseudocaranx,dentex,-42.25,174.25,3417:124:1,909,13.63,34.77,1098,0,49
Pseudocaranx,dentex,-42.25,173.75,3417:123:2,311,13.05,34.77,883,0,10
Pseudocaranx,dentex,-42.25,171.25,3417:121:1,85,14.94,34.81,885,0,13
Pseudocaranx,dentex,-42.25,148.25,3414:228:1,63,14.75,35.16,462,0,18
Pseudocaranx,dentex,-42.25,145.25,3414:225:1,64,13.38,35,608,0,13
Pseudocaranx,dentex,-41.75,170.75,3417:110:4,318,15.06,35.08,712,0,79
