ECOREGION,Species,status
Adriatic Sea,Argyrosomus regius,Native
Adriatic Sea,Dicentrarchus labrax,Native
Adriatic Sea,Mugil cephalus,Native
Adriatic Sea,Salmo salar,Native
Adriatic Sea,Scophthalmus maximus,Native
Adriatic Sea,Sparus aurata,Native
Adriatic Sea,Thunnus thynnus,Native
Aegean Sea,Argyrosomus regius,Native
Aegean Sea,Dicentrarchus labrax,Native
Aegean Sea,Mugil cephalus,Native
Aegean Sea,Pagrus pagrus,Native
Aegean Sea,Pseudocaranx dentex,Native
Aegean Sea,Scophthalmus maximus,Native
Aegean Sea,Sparus aurata,Native
Aegean Sea,Thunnus thynnus,Native
Agulhas Bank,Chanos chanos,Native
Agulhas Bank,Mugil cephalus,Native
Agulhas Bank,Pseudocaranx dentex,Native
Agulhas Bank,Rachycentron canadum,Native
Agulhas Bank,Thunnus maccoyii,Native
Agulhas Bank,Thunnus thynnus,Native
Alboran Sea,Argyrosomus regius,Native
Alboran Sea,Dicentrarchus labrax,Native
Alboran Sea,Pagrus pagrus,Native
Alboran Sea,Pseudocaranx dentex,Native
Alboran Sea,Scophthalmus maximus,Native
Alboran Sea,Sparus aurata,Native
Alboran Sea,Thunnus thynnus,Native
Aleutian Islands,Oncorhynchus kisutch,Native
Aleutian Islands,Oncorhynchus tshawytscha,Native
Amazonia,Rachycentron canadum,Native
Amazonia,Thunnus thynnus,Native
Amsterdam-St Paul,Thunnus maccoyii,Native
Andaman and Nicobar Islands,Chanos chanos,Native
Andaman and Nicobar Islands,Lates calcarifer,Native
Andaman and Nicobar Islands,Mugil cephalus,Native
Andaman and Nicobar Islands,Rachycentron canadum,Native
Andaman and Nicobar Islands,Trachinotus blochii,Native
Andaman Sea Coral Coast,Lates calcarifer,Native
Andaman Sea Coral Coast,Rachycentron canadum,Native
Andaman Sea Coral Coast,Trachinotus blochii,Native
Angolan,Mugil cephalus,Native
Angolan,Pagrus pagrus,Native
Arabian (Persian) Gulf,Chanos chanos,Native
Arabian (Persian) Gulf,Rachycentron canadum,Native
Arabian (Persian) Gulf,Trachinotus blochii,Native
Arafura Sea,Lates calcarifer,Native
Arafura Sea,Rachycentron canadum,Native
Arafura Sea,Thunnus orientalis,Native
