Species,DISEASE,AGENT,TYPE,SYNDROME,MEASURES,Source,Source_1,souce,Soure
Dicentrarchus labrax,Viral encephalo-retinopathy,Nodavirus,Virus,Nervous symptoms,Good prophylaxis; good husbandry conditions,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=287,NA,NA
Dicentrarchus labrax,Vibriosis,Vibrio anguillarum,Bacteria,Anorexia; darkening; skin ulcers; abdominal distension; splenomegaly; visceral petechiation; necrotic enteritis,Fry vaccination; antibiotic treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Vibriosis,Vibrio ordali,Bacteria,Anorexia; darkening; skin ulcers; abdominal distension; splenomegaly; visceral petechiation; necrotic enteritis,Fry vaccination; antibiotic treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Vibriosis,Vibrio sp.,Bacteria,Anorexia; darkening; skin ulcers; abdominal distension; splenomegaly; visceral petechiation; necrotic enteritis,Fry vaccination; antibiotic treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Photobacteriosis or Pseudotuberculosis,Photobacterium damsela subsp. pasteurella,Bacteria,Anorexia; darkening; splenomegaly; miliary lesions of spleen or spleen granulomatosis (chronic form),Antibiotic treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Myxobacteriosis,Flexibacter maritimus,Bacteria,Skin ulcers; necrosis; fin erosion,Antibiotic treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Mycobacteriosis,Mycobacterium marinum,Bacteria,Emaciation; poor growth; hypertrophic kidney and spleen with granulomas,Good prophylaxis,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Epitheliocystis,Chlamydia,Bacteria,Miliary nodules on skin or gills,Good prophylaxis,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,https://www.fishbase.de/Diseases/DiseasesList.php?ID=63&StockCode=73,NA,NA
Dicentrarchus labrax,Amyloodiniasis,Amyloodinium ocellatum,Dinoflagellate,Skin darkening; skin dusty appearance (velvet disease),Freshwater treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Cryptocaryoniasis,Cryptocaryon irritans,Ciliates,Skin lesions; white spot or multifocal white patches (marine white spot disease),Freshwater treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Scuticociliatosis; other ciliatosis,Philasteridis dicentrarchi,Ciliates,Skin and gill lesions; depigmentation; ulcerations; skin area haemorrhages,Freshwater treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Scuticociliatosis; other ciliatosis,Uronema sp.,Ciliates,Skin and gill lesions; depigmentation; ulcerations; skin area haemorrhages,Freshwater treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
