Species,DISEASE,AGENT,TYPE,Source,Source_1,souce,Soure,type
Acanthopagrus schlegelii,Nematode infestation,Capillaria acanthopagri,Nematoda,"Moravec, František, Kazuya Nagasawa, and Ione Madinabeitia. ""A new species of Capillaria (Nematoda: Capillariidae) from the intestine of the marine fish Acanthopagrus schlegelii schlegelii (Sparidae) from Japan."" Journal of Parasitology 96.4 (2010): 771-774.",NA,NA,NA,Parasites
Acanthopagrus schlegelii,Nematode infestation,Dichelyne jialaris,Nematoda,"Moravec, František, Kazuya Nagasawa, and Ione Madinabeitia. ""Redescription of Dichelyne (Cucullanellus) jialaris (Nematoda: Cucullanidae), a parasite of seabreams (Perciformes: Sparidae) in East Asia."" Acta parasitologica63.4 (2018): 802-807.",NA,NA,NA,Parasites
Acanthopagrus schlegelii,Edwardsiellosis,Edwardsiella tarda,Bacteria,"Wimalasena, Sudu Hakuruge Madusha Pramud, et al. ""Antibiotic Resistance and Virulence-Associated Gene Profile of Edwardsiella tarda Isolated from Cultured Fish in Japan."" TURKISH JOURNAL OF FISHERIES AND AQUATIC SCIENCES 19.2 (2019): 51-57.",NA,NA,NA,Bacteria
Acanthopagrus schlegelii,NA,Henneguya ogawai ,Myxozoa,"Li, Yang-Chun, et al. ""Three novel myxobolid species of genera Henneguya and Myxobolus (Myxosporea: Bivalvulida) from marine fish in Japan."" Parasitology research 111.2 (2012): 819-826.",NA,NA,NA,Others
Acanthopagrus schlegelii,NA,Henneguya yokoyamai ,Myxozoa,"Li, Yang-Chun, et al. ""Three novel myxobolid species of genera Henneguya and Myxobolus (Myxosporea: Bivalvulida) from marine fish in Japan."" Parasitology research 111.2 (2012): 819-826.",NA,NA,NA,Others
Acanthopagrus schlegelii,Myxosporidiosis,Kudoa iwatai ,Myxozoa,"Matsukane, Yuuki, et al. ""Kudoa iwatai and two novel Kudoa spp., K. trachuri n. sp. and K. thunni n. sp.(Myxosporea: Multivalvulida), from daily consumed marine fish in western Japan."" Parasitology research 108.4 (2011): 913-926.",NA,NA,NA,Others
Acanthopagrus schlegelii,Sealice,Lernanthropsis mugilii,Copepoda,"Pillai, N. Krishna. ""Three new species of anthosomid copepods parasitic on South Indian fishes."" The Journal of parasitology (1962): 613-617.",NA,NA,NA,Parasites
Acanthopagrus schlegelii,Sealice,Lernanthropus atrox,Copepoda,"Pillai, N. Krishna. ""Three new species of anthosomid copepods parasitic on South Indian fishes."" The Journal of parasitology (1962): 613-617.",NA,NA,NA,Parasites
Acanthopagrus schlegelii,Sealice,Lernanthropus chrysophrys,Copepoda,"Pillai, N. Krishna. ""Three new species of anthosomid copepods parasitic on South Indian fishes."" The Journal of parasitology (1962): 613-617.",NA,NA,NA,Parasites
Acanthopagrus schlegelii,Isopodiasis,Nerocila japonica,Isopoda,"Yamauchi, Takeo, and Kazuya Nagasawa. ""Redescription of the fish parasite Nerocila japonica Schioedte & Meinert, 1881 (Crustacea: Isopoda: Cymothoidae), with comments on previous records of N. acuminata in Japanese waters."" Systematic parasitology 81.2 (2012): 147-157.",NA,NA,NA,Parasites
Acanthopagrus schlegelii,Sealice,Parabrachiella lata,Copepoda,"Ho, J-S., Y. Cheng, and C. Lin. ""The development of Parabrachiella lata (Song & Chen, 1976), a lernaeopodid copepod parasitic on the black porgy, Acanthopagrus schlegelii (Bleeker, 1854), of Taiwan."" CRUSTACEANA-INTERNATIONAL JOURNAL OF CRUSTACEAN RESEARCH- 80.1 (2007): 47.",NA,NA,NA,Parasites
Argyrosomus regius,Amyloodiniasis,Amyloodinium ocellatum,Dinoflagellate,http://www.fao.org/fishery/culturedspecies/Argyrosomus_regius/en#tcNA00C6,"NA","NA","NA",Others
Argyrosomus regius,Flatworm infection,Benedenia sciaenae,Monogenea,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.","NA","NA","NA",Parasites
Argyrosomus regius,Trematode infection,Calceostoma sp.,Trematoda,"Soares, Florbela, Ana Roque, and Paulo J. Gavaia. ""Review of the principal diseases affecting cultured meagre (Argyrosomus regius)."" Aquaculture Research 49.4 (2018): 1373-1382.",NA,NA,NA,Parasites
Argyrosomus regius,Isopodiasis,Ceratothoa oestroides,Isopoda,NA,NA,NA,NA,Parasites
Argyrosomus regius,Flatworm infection,Diplectanum sciaenae,Monogenea,"Soares, Florbela, Ana Roque, and Paulo J. Gavaia. ""Review of the principal diseases affecting cultured meagre (Argyrosomus regius)."" Aquaculture Research 49.4 (2018): 1373-1382.",NA,NA,NA,Parasites
Argyrosomus regius,Flatworm infection,Gyrodactylus sp.,Monogenea,http://www.fao.org/fishery/culturedspecies/Argyrosomus_regius/en#tcNA00C7,"NA","NA","NA",Parasites
Argyrosomus regius,Sealice,Lernanthropus indefinitus,Copepoda,"Koyuncu, C. Erkin, Raul Castro Romero, and Süphan Karaytuğ. ""Lernanthropus indefinitus n. sp.(Copepoda, Siphonostomatoida, Lernanthropidae) parasitic on Argyrosomus regius (Asso, 1801)(Pisces, Sciaenidae)."" Crustaceana (2012): 1409-1420.",NA,NA,NA,Parasites
Argyrosomus regius,NA,Microcotyle pancerii,Monogenea,"Soares, Florbela, Ana Roque, and Paulo J. Gavaia. ""Review of the principal diseases affecting cultured meagre (Argyrosomus regius)."" Aquaculture Research 49.4 (2018): 1373-1382.",NA,NA,NA,Parasites
Argyrosomus regius,Nocardosis,Nocardia sp.,Bacteria,"Soares, Florbela, Ana Roque, and Paulo J. Gavaia. ""Review of the principal diseases affecting cultured meagre (Argyrosomus regius)."" Aquaculture Research 49.4 (2018): 1373-1382.",NA,NA,NA,Bacteria
Argyrosomus regius,NA,Penicillium digitatum,Fungi,"Soares, Florbela, Ana Roque, and Paulo J. Gavaia. ""Review of the principal diseases affecting cultured meagre (Argyrosomus regius)."" Aquaculture Research 49.4 (2018): 1373-1382.",NA,NA,NA,Fungi
Argyrosomus regius,Nematode infestation,Philometra sp.,Nematoda,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.","NA","NA","NA",Parasites
Argyrosomus regius,Photobacterium infection,Photobacterium damselae subsp piscicida,Bacteria,"Soares, Florbela, Ana Roque, and Paulo J. Gavaia. ""Review of the principal diseases affecting cultured meagre (Argyrosomus regius)."" Aquaculture Research 49.4 (2018): 1373-1382.",NA,NA,NA,Bacteria
Argyrosomus regius,NA,Sciaenocotyle pancerii,Monogenea,"Soares, Florbela, Ana Roque, and Paulo J. Gavaia. ""Review of the principal diseases affecting cultured meagre (Argyrosomus regius)."" Aquaculture Research 49.4 (2018): 1373-1382.",NA,NA,NA,Parasites
Argyrosomus regius,Trematode infection,Sciaenocotyle sp.,Trematoda,"Soares, Florbela, Ana Roque, and Paulo J. Gavaia. ""Review of the principal diseases affecting cultured meagre (Argyrosomus regius)."" Aquaculture Research 49.4 (2018): 1373-1382.",NA,NA,NA,Parasites
Argyrosomus regius,Vibriosis,Vibrio anguillarum,Bacteria,http://www.fao.org/fishery/culturedspecies/Argyrosomus_regius/en#tcNA00C5,"NA","NA","NA",Bacteria
Argyrosomus regius,Vibriosis,Vibrio tapetis,Bacteria,"Soares, Florbela, Ana Roque, and Paulo J. Gavaia. ""Review of the principal diseases affecting cultured meagre (Argyrosomus regius)."" Aquaculture Research 49.4 (2018): 1373-1382.",NA,NA,NA,Bacteria
Chanos chanos,Acanthocephala infection,Acanthocephalus sp.,Acanthocephala,NA,NA,NA,NA,Parasites
Chanos chanos,Sealice,Aega sp.,Copepoda,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Chanos chanos,Sealice,Caligus longipedis,Copepoda,http://www.fao.org/fishery/culturedspecies/Chanos_chanos/en#tcNA00A5,"NA","NA","NA",Parasites
Chanos chanos,Sealice,Caligus patulus,Copepoda,NA,NA,NA,NA,Parasites
Chanos chanos,Nematode infestation,Capillaria sp.,Nematoda,http://www.fao.org/fishery/culturedspecies/Chanos_chanos/en#tcNA00A0,"NA","NA","NA",Parasites
Chanos chanos,NA,Chondrococcus columnaris,Bacteria,"Lio-Po, Gilda. ""Diseases of milkfish."" Advances in milkfish biology and culture: proceedings of the Second International Milkfish Aquaculture Conference, 4-8 October 1983, Iloilo City, Philippines. Published by Island Pub. House in association with the Aquaculture Dept., Southeast Asian Fisheries Development Center and the International Development Research Centre, 1984.",NA,NA,NA,Bacteria
Chanos chanos,Cryptobia Infestation,Cryptobia sp.,Ciliophora,http://www.fao.org/fishery/culturedspecies/Chanos_chanos/en#tcNA00A4,"NA","NA","NA",Others
Chanos chanos,Sealice,Gnathia sp.,Copepoda,"Woo, Patrick TK, and David W. Bruno Gregory, eds. Diseases and disorders of finfish in cage culture. CABI, 2014.",NA,NA,NA,Parasites
Chanos chanos,Trematode infection,Haplorchis varium,Trematoda,"Velasquez, C. C. (1984). Pests/parasites and diseases of milkfish in the Philippines. In J. V. Juario, R. P. Ferraris, & L. V. Benitez (Eds.), Advances in milkfish biology and culture: Proceedings of the Second International Milkfish Aquaculture Conference, 4-8 October 1983, Iloilo City, Philippines. (pp. 155-159)",NA,NA,NA,Parasites
Chanos chanos,Trematode infection,Haplorchis yokogawai,Trematoda,"Velasquez, C. C. (1984). Pests/parasites and diseases of milkfish in the Philippines. In J. V. Juario, R. P. Ferraris, & L. V. Benitez (Eds.), Advances in milkfish biology and culture: Proceedings of the Second International Milkfish Aquaculture Conference, 4-8 October 1983, Iloilo City, Philippines. (pp. 155-159)",NA,NA,NA,Parasites
Chanos chanos,Isopodiasis,Ichthoxyenous sp.,Isopoda,"Velasquez, C. C. (1984). Pests/parasites and diseases of milkfish in the Philippines. In J. V. Juario, R. P. Ferraris, & L. V. Benitez (Eds.), Advances in milkfish biology and culture: Proceedings of the Second International Milkfish Aquaculture Conference, 4-8 October 1983, Iloilo City, Philippines. (pp. 155-159)",NA,NA,NA,Parasites
Chanos chanos,Infectious pancreatic necrosis,Infectious pancreatic necrosis virus,Virus,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A2,"NA","NA","NA",Virus
Chanos chanos,Sealice,Lernaea cyprinacea,Copepoda,http://www.fao.org/fishery/culturedspecies/Chanos_chanos/en#tcNA00A1,"NA","NA","NA",Parasites
Chanos chanos,Trematode infection,Procerovum calderoni,Trematoda,"Velasquez, C. C. (1984). Pests/parasites and diseases of milkfish in the Philippines. In J. V. Juario, R. P. Ferraris, & L. V. Benitez (Eds.), Advances in milkfish biology and culture: Proceedings of the Second International Milkfish Aquaculture Conference, 4-8 October 1983, Iloilo City, Philippines. (pp. 155-159)",NA,NA,NA,Parasites
Chanos chanos,Isopodiasis,Rocinella typicus,Isopoda,"Velasquez, C. C. (1984). Pests/parasites and diseases of milkfish in the Philippines. In J. V. Juario, R. P. Ferraris, & L. V. Benitez (Eds.), Advances in milkfish biology and culture: Proceedings of the Second International Milkfish Aquaculture Conference, 4-8 October 1983, Iloilo City, Philippines. (pp. 155-159)",NA,NA,NA,Parasites
Chanos chanos,Scolex infestation,Scolex pleuronectis,Cestoda,http://www.fao.org/fishery/culturedspecies/Chanos_chanos/en#tcNA00A3,"NA","NA","NA",Parasites
Chanos chanos,Trichodinosis,Trichodina sp.,Ciliophora,http://www.fao.org/fishery/culturedspecies/Chanos_chanos/en#tcNA00A2,"NA","NA","NA",Others
