Species,DISEASE,AGENT,TYPE,SYNDROME,MEASURES,Source,Source_1,souce,Soure
Scophthalmus maximus,Amoebic gill disease,Neoparamoeba pemaquidensis,Amoeba,Gill parasitism; respiratory impairment,Freshwater bath,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,NA,NA,NA
Oncorhynchus tshawytscha,Amoebic gill disease,Neoparamoeba perurans,Amoeba,NA,NA,NA,NA,NA,NA
Salmo salar,Amoebic gill disease,Paramoeba pemaquidensis,Amoeba,Gill infestation,Freshwater baths,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A11,NA,NA,NA
Lates calcarifer,Bacterial enteritis,Various Gram-negative bacteria,Bacteria,Acute disease in intensive larval rearing systems; anorexia; pin heads; darkened fish & death,Cull affected larval batch,NA,NA,NA,NA
Lates calcarifer,Bacterial gill disease,Cytophaga sp.,Bacteria,Swimming at water surface; gulping; rapid opercular movement; excess mucus on gills; white patches on gills; most commonly occurs in nursery phase,"Improve water quality; treatment with salinity reversal, potassium permanganate or quaternary ammonium baths; increase water exchange; reduce stocking density",NA,NA,NA,NA
Oncorhynchus mykiss,Bacterial gill disease,Myxobacterium,Bacteria,Loss of appetite; swelling and reddening of gills; eventually gill filaments mass together and become paler with a secretion blocking gill function in later stage,Bathing in bacteriocide and regular filtering of water supply to remove particles in water,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D13,NA,NA,NA
Lates calcarifer,Bacterial haemorrhagic septicaemia,Aeromonas caviae,Bacteria,Freshwater fish with irregular reddened skin ulcerations; lethargy; anorexia; reddened abdominal fluid; pale gills; associated with poor environment & skin trauma,Improved environment; antibiotic treatment,NA,NA,NA,NA
Mugil cephalus,Bacterial haemorrhagic septicaemia,Aeromonas caviae,Bacteria,Systemic infection; acute haemorrhagic and septicaemic disease; haemorrhagic spots on the skin and base of fins; ulcers and skin necrosis; exophthalmia and dropsy,Environmental improvement; antibacterial drugs in feed,NA,NA,NA,http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C9
Lates calcarifer,Bacterial haemorrhagic septicaemia,Aeromonas hydrophila,Bacteria,Freshwater fish with irregular reddened skin ulcerations; lethargy; anorexia; reddened abdominal fluid; pale gills; associated with poor environment & skin trauma,Improved environment; antibiotic treatment,NA,NA,NA,NA
Lates calcarifer,Bacterial haemorrhagic septicaemia,Aeromonas hydrophila,Bacteria,Darkened fish; lethargy; swollen abdomen; adhesions & bad smelling fluid in abdomen; abdominal fistulas; more common in recirculation systems,Cull affected fish; antibiotic treatment,NA,NA,NA,NA
Mugil cephalus,Bacterial haemorrhagic septicaemia,Aeromonas hydrophila,Bacteria,Breakdown of tissues between fin rays (fin rot),Antibacterial bath; environmental improvement,NA,NA,NA,http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C8
Mugil cephalus,Bacterial haemorrhagic septicaemia,Aeromonas hydrophyla,Bacteria,Systemic infection; acute haemorrhagic and septicaemic disease; haemorrhagic spots on the skin and base of fins; ulcers and skin necrosis; exophthalmia and dropsy,Environmental improvement; antibacterial drugs in feed,NA,NA,NA,http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C9
Oncorhynchus mykiss,Bacterial haemorrhagic septicaemia,Aeromonas liquefaciens,Bacteria,Smaller lesions on body that become open sores; fins become reddened and tissues break down,Same treatment as furunculosis,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D10,NA,NA,NA
Lates calcarifer,Bacterial haemorrhagic septicaemia,Aeromonas sobria,Bacteria,Freshwater fish with irregular reddened skin ulcerations; lethargy; anorexia; reddened abdominal fluid; pale gills; associated with poor environment & skin trauma,Improved environment; antibiotic treatment,NA,NA,NA,NA
Mugil cephalus,Bacterial haemorrhagic septicaemia,Aeromonas sobria,Bacteria,Systemic infection; acute haemorrhagic and septicaemic disease; haemorrhagic spots on the skin and base of fins; ulcers and skin necrosis; exophthalmia and dropsy,Environmental improvement; antibacterial drugs in feed,NA,NA,NA,http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C9
Oncorhynchus tshawytscha,Bacterial Kidney Disease (BKD),Renibacterium salmoninarum,Bacteria,Whitish lesions in the spleen & kidney; bleeding from kidney & liver,Statutory controls; biosecurity; broodstock screening; vaccination,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C5,NA,NA,NA
Oncorhynchus kisutch,Bacterial Kidney Disease (BKD),Renibacterium salmoninarum,Bacteria,Whitish lesions in the spleen & kidney; bleeding from kidney & liver,Statutory controls; biosecurity; broodstock screening; vaccination,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_kisutch/en#tcNA00C5,NA,NA,NA
Oncorhynchus mykiss,Bacterial Kidney Disease (BKD),Renibacterium salmoninarum,Bacteria,Whitish lesions in the kidney; bleeding from kidneys and liver; some fish may lose appetite and swim close to surface; appear dark in colour,Statutory controls; biosecurity; broodstock screening,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A5,NA,NA,NA
Salmo salar,Bacterial Kidney Disease (BKD),Renibacterium salmoninarum,Bacteria,Whitish lesions in the kidney; bleeding from kidneys and liver; some fish may lose appetite and swim close to surface; appear dark in colour,Statutory controls; biosecurity; broodstock screening,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A5,NA,NA,NA
Salmo salar,Columnaris ,Flavobacterium columnare,Bacteria,NA,NA,https://en.wikipedia.org/wiki/Columnaris,NA,NA,NA
Lates calcarifer,Columnaris ,Flavobacterium columnare,Bacteria,Swimming at water surface; gulping; rapid opercular movement; excess mucus on gills; white patches on gills; most commonly occurs in nursery phase,"Improve water quality; treatment with salinity reversal, potassium permanganate or quaternary ammonium baths; increase water exchange; reduce stocking density",NA,NA,NA,NA
Mugil cephalus,Columnaris ,Flavobacterium columnare,Bacteria,Breakdown of tissues between fin rays (fin rot),Antibacterial bath; environmental improvement,NA,NA,NA,http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C8
Dicentrarchus labrax,Edwardsiellosis,Edwardsiella tarda,Bacteria,NA,NA,https://www.fishbase.de/Diseases/DiseasesList.php?ID=63&StockCode=73,NA,NA,NA
Pagrus auratus,Edwardsiellosis,Edwardsiella tarda,Bacteria,NA,NA,https://www.fishbase.de/summary/Pagrus-major.html,NA,NA,NA
Oncorhynchus mykiss,Edwardsiellosis,Edwardsiella tarda,Bacteria,NA,NA,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=491,NA,NA,NA
Lateolabrax japonicus,Edwardsiellosis,Edwardsiella tarda,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Pagrus auratus,Edwardsiellosis,Edwardsiella tarda,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Paralichthys olivaceus,Edwardsiellosis,Edwardsiella tarda,Bacteria,NA,NA,https://www.fishbase.se/summary/Paralichthys-olivaceus.html,NA,NA,NA
Sebastes schlegelii,Edwardsiellosis,Edwardsiella tarda,Bacteria,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Seriola quinqueradiata,Edwardsiellosis,Edwardsiella tarda,Bacteria,NA,NA,NA,NA,NA,NA
Scophthalmus maximus,Enteric redmouth disease,Yersinia ruckeri,Bacteria,NA,NA,https://www.fishbase.de/Diseases/diseasessummary.php?stockcode=1366&diseasesrefno=48849&discode=11&locality=not+specified&id=1348,NA,NA,NA
Dicentrarchus labrax,Enteric redmouth disease,Yersinia ruckeri,Bacteria,NA,NA,NA,NA,NA,NA
