Species,AGENT,TYPE,country_name,PRODUCTION_AREA,ISO3_Code,COUNTRY,mean_prod,ISO_N3,ECOREGION
Dicentrarchus labrax,Amyloodinium ocellatum,Dinoflagellate,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Anilocra physodes,Isopoda,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Anisakis simplex,Nematoda,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Caligus minus,Copepoda,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Ceratomyxa labraci,Myxozoa,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Ceratothoa oestroides,Isopoda,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Chlamydia,Bacteria,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Cryptobia branchialis,Ciliophora,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Cryptocaryon irritans,Ciliophora,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Diplectanum aequans,Monogenea,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Diplectanum laubieri,Monogenea,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Edwardsiella tarda,Bacteria,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Flexibacter maritimus,Bacteria,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Glugea sp.,Myxozoa,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Infectious pancreatic necrosis virus,Virus,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Lacinutrix venerupis,Bacteria,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Microcotyle labrachis,Monogenea,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Mycobacterium marinum,Bacteria,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Nerocilla orbiguyi,Isopoda,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Philasteridis dicentrarchi,Ciliophora,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Photobacterium damselae subsp. pasteurella,Bacteria,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Piscine nodavirus,Virus,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Shaerospora testicularis,Myxozoa,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Sphaerospora dicentrarchi ,Myxozoa,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Tetrahynema sp.,Ciliophora,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Trichodina sp.,Ciliophora,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Uronema sp.,Ciliophora,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Vibrio anguillarum,Bacteria,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Vibrio ordali,Bacteria,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Yersinia ruckeri,Bacteria,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Mothocya parvostis,Isopoda,Albania,37,ALB,8,172.74,8,Adriatic Sea
Dicentrarchus labrax,Amyloodinium ocellatum,Dinoflagellate,Albania,37,ALB,8,172.74,8,Ionian Sea
Dicentrarchus labrax,Anilocra physodes,Isopoda,Albania,37,ALB,8,172.74,8,Ionian Sea
