Species,MaxLengthTL,Troph,K,eco_ind,country_name,PRODUCTION_AREA,ISO3_Code,COUNTRY,mean_prod,ISO_N3,ECOREGION,n_eco,mean_prod_ecoreg
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,Albania,37,ALB,8,172.74,8,Adriatic Sea,2,86.37
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,Albania,37,ALB,8,172.74,8,Ionian Sea,2,86.37
Sparus aurata,70,3.7,0.28,0.39229024943310664,Albania,37,ALB,8,395.48,8,Adriatic Sea,2,197.74
Sparus aurata,70,3.7,0.28,0.39229024943310664,Albania,37,ALB,8,395.48,8,Ionian Sea,2,197.74
Salmo salar,150,4.5,0.23,0.5487528344671202,Australia,81,AUS,36,38227.8367,36,Bassian,1,38227.8367
Thunnus maccoyii,271.95,3.93,0.14,0.49383786848072564,Australia,57,AUS,36,6797.0632,36,South Australian Gulfs,1,6797.0632
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Bahamas,31,BHS,44,21.66666667,44,Bahamian,1,21.66666667
Sparus aurata,70,3.7,0.28,0.39229024943310664,Bahrain,51,BHR,48,1.2044,48,Arabian (Persian) Gulf,1,1.2044
Dicentrarchus labrax,103,3.47,0.17,0.30714285714285716,Bosnia and Herzegovina,37,BIH,70,84.9375,70,Adriatic Sea,1,84.9375
Sparus aurata,70,3.7,0.28,0.39229024943310664,Bosnia and Herzegovina,37,BIH,70,96.74444444,70,Adriatic Sea,1,96.74444444
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Belize,31,BLZ,84,121.6714286,84,Western Caribbean,1,121.6714286
Chanos chanos,219.6,2.4,0.19482758620689655,0.24673078426773007,Brunei Darussalam,71,BRN,96,0.8,96,Palawan/North Borneo,1,0.8
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Brunei Darussalam,71,BRN,96,48.23,96,Palawan/North Borneo,1,48.23
Trachinotus blochii,122.1,3.74,0.17,0.3651587301587302,Brunei Darussalam,71,BRN,96,9.77,96,Palawan/North Borneo,1,9.77
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Myanmar,57,MMR,104,165.1542294,104,Andaman Sea Coral Coast,2,82.5771147
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Myanmar,57,MMR,104,165.1542294,104,Northern Bay of Bengal,2,82.5771147
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Cambodia,71,KHM,116,147.7777778,116,Gulf of Thailand,1,147.7777778
Salmo salar,150,4.5,0.23,0.5487528344671202,Canada,21,CAN,124,29922.4,124,Northern Grand Banks - Southern Labrador,3,9974.133333333333
Salmo salar,150,4.5,0.23,0.5487528344671202,Canada,21,CAN,124,29922.4,124,Gulf of St. Lawrence - Eastern Scotian Shelf,3,9974.133333333333
Salmo salar,150,4.5,0.23,0.5487528344671202,Canada,21,CAN,124,29922.4,124,Southern Grand Banks - South Newfoundland,3,9974.133333333333
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Canada,67,CAN,124,200,124,North American Pacific Fijordland,5,40
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Canada,67,CAN,124,200,124,"Oregon, Washington, Vancouver Coast and Shelf",5,40
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Canada,67,CAN,124,200,124,Gulf of Maine/Bay of Fundy,5,40
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Canada,67,CAN,124,200,124,Scotian Shelf,5,40
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Canada,67,CAN,124,200,124,Puget Trough/Georgia Basin,5,40
Salmo salar,150,4.5,0.23,0.5487528344671202,Canada,67,CAN,124,76496.9,124,North American Pacific Fijordland,5,15299.38
Salmo salar,150,4.5,0.23,0.5487528344671202,Canada,67,CAN,124,76496.9,124,"Oregon, Washington, Vancouver Coast and Shelf",5,15299.38
Salmo salar,150,4.5,0.23,0.5487528344671202,Canada,67,CAN,124,76496.9,124,Gulf of Maine/Bay of Fundy,5,15299.38
Salmo salar,150,4.5,0.23,0.5487528344671202,Canada,67,CAN,124,76496.9,124,Scotian Shelf,5,15299.38
Salmo salar,150,4.5,0.23,0.5487528344671202,Canada,67,CAN,124,76496.9,124,Puget Trough/Georgia Basin,5,15299.38
Lates calcarifer,200,3.83,0.12,0.4072562358276644,Sri Lanka,57,LKA,144,11.647,144,South India and Sri Lanka,1,11.647
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Chile,87,CHL,152,158339.1,152,Channels and Fjords of Southern Chile,2,79169.55
Oncorhynchus mykiss,122,4.08,0.52,0.6571428571428571,Chile,87,CHL,152,158339.1,152,Chiloense,2,79169.55
Salmo salar,150,4.5,0.23,0.5487528344671202,Chile,87,CHL,152,394379.1,152,Channels and Fjords of Southern Chile,2,197189.55
Salmo salar,150,4.5,0.23,0.5487528344671202,Chile,87,CHL,152,394379.1,152,Chiloense,2,197189.55
Oncorhynchus kisutch,107.95,4.18,0.1,0.3761507936507937,Chile,87,CHL,152,126122.1,152,Channels and Fjords of Southern Chile,2,63061.05
Oncorhynchus tshawytscha,150,4.4,0.07,0.42403628117913844,Chile,87,CHL,152,698.7,152,Channels and Fjords of Southern Chile,2,349.35
Oncorhynchus kisutch,107.95,4.18,0.1,0.3761507936507937,Chile,87,CHL,152,126122.1,152,Chiloense,2,63061.05
Oncorhynchus tshawytscha,150,4.4,0.07,0.42403628117913844,Chile,87,CHL,152,698.7,152,Chiloense,2,349.35
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,China,61,CHN,156,33914.8,156,East China Sea,3,11304.933333333334
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,China,61,CHN,156,33914.8,156,Yellow Sea,3,11304.933333333334
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,China,61,CHN,156,33914.8,156,Southern China,3,11304.933333333334
Sciaenops ocellatus,155,3.74,0.4,0.5477324263038549,China,61,CHN,156,60190.3,156,East China Sea,3,20063.433333333334
Sciaenops ocellatus,155,3.74,0.4,0.5477324263038549,China,61,CHN,156,60190.3,156,Yellow Sea,3,20063.433333333334
Sciaenops ocellatus,155,3.74,0.4,0.5477324263038549,China,61,CHN,156,60190.3,156,Southern China,3,20063.433333333334
Scophthalmus maximus,122,4.36,0.25,0.5179138321995466,China,61,CHN,156,56500,156,East China Sea,2,28250
Scophthalmus maximus,122,4.36,0.25,0.5179138321995466,China,61,CHN,156,56500,156,Yellow Sea,2,28250
Larimichthys crocea,80,3.72,0.23,0.3693877551020408,China,61,CHN,156,100224,156,East China Sea,3,33408
Lateolabrax japonicus,102,3.36,0.18,0.2956916099773243,China,61,CHN,156,115693.8,156,East China Sea,3,38564.6
Takifugu rubripes,80,3.6,0.31,0.4047619047619048,China,61,CHN,156,17053.1,156,East China Sea,3,5684.366666666666
Trachinotus blochii,122.1,3.74,0.17,0.3651587301587302,China,61,CHN,156,89100,156,East China Sea,3,29700
Larimichthys crocea,80,3.72,0.23,0.3693877551020408,China,61,CHN,156,100224,156,Yellow Sea,3,33408
Lateolabrax japonicus,102,3.36,0.18,0.2956916099773243,China,61,CHN,156,115693.8,156,Yellow Sea,3,38564.6
Takifugu rubripes,80,3.6,0.31,0.4047619047619048,China,61,CHN,156,17053.1,156,Yellow Sea,3,5684.366666666666
Trachinotus blochii,122.1,3.74,0.17,0.3651587301587302,China,61,CHN,156,89100,156,Yellow Sea,3,29700
Larimichthys crocea,80,3.72,0.23,0.3693877551020408,China,61,CHN,156,100224,156,Southern China,3,33408
Lateolabrax japonicus,102,3.36,0.18,0.2956916099773243,China,61,CHN,156,115693.8,156,Southern China,3,38564.6
Takifugu rubripes,80,3.6,0.31,0.4047619047619048,China,61,CHN,156,17053.1,156,Southern China,3,5684.366666666666
Trachinotus blochii,122.1,3.74,0.17,0.3651587301587302,China,61,CHN,156,89100,156,Southern China,3,29700
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Taiwan Province of China,61,TWN,158,1577.673123,158,East China Sea,3,525.891041
Rachycentron canadum,200,3.82,0.31,0.5349206349206349,Taiwan Province of China,61,TWN,158,1577.673123,158,Southern China,3,525.891041
