Species,lat,lon
Dicentrarchus labrax,14.75,-17.25
Dicentrarchus labrax,18.75,-16.25
Dicentrarchus labrax,25.75,-14.75
Dicentrarchus labrax,28.25,-14.25
Dicentrarchus labrax,31.25,29.75
Dicentrarchus labrax,31.25,17.25
Dicentrarchus labrax,32.25,34.75
Dicentrarchus labrax,32.75,-9.25
Dicentrarchus labrax,32.75,27.75
Dicentrarchus labrax,33.25,-8.25
Dicentrarchus labrax,33.75,35.25
Dicentrarchus labrax,34.25,26.25
Dicentrarchus labrax,34.25,10.75
Dicentrarchus labrax,34.75,-6.75
Dicentrarchus labrax,35.25,32.25
Dicentrarchus labrax,35.25,26.25
Dicentrarchus labrax,35.25,25.75
Dicentrarchus labrax,35.25,25.25
Dicentrarchus labrax,35.25,24.75
Dicentrarchus labrax,35.25,35.75
Dicentrarchus labrax,35.25,-2.75
Dicentrarchus labrax,35.25,32.75
Dicentrarchus labrax,35.75,14.25
Dicentrarchus labrax,35.75,-0.75
Dicentrarchus labrax,36.25,14.25
Dicentrarchus labrax,36.25,10.25
Dicentrarchus labrax,36.25,-5.75
Dicentrarchus labrax,36.25,-5.25
Dicentrarchus labrax,36.75,10.25
Dicentrarchus labrax,36.75,-6.25
Dicentrarchus labrax,36.75,5.75
Dicentrarchus labrax,36.75,30.75
Dicentrarchus labrax,37.75,24.25
Dicentrarchus labrax,37.75,21.25
Dicentrarchus labrax,37.75,15.25
Dicentrarchus labrax,37.75,8.75
Dicentrarchus labrax,37.75,-0.75
Dicentrarchus labrax,37.75,-0.25
Dicentrarchus labrax,38.25,21.25
Dicentrarchus labrax,38.25,-0.75
Dicentrarchus labrax,38.25,-0.25
Dicentrarchus labrax,38.75,-9.25
Dicentrarchus labrax,38.75,-0.25
Dicentrarchus labrax,38.75,1.75
Dicentrarchus labrax,38.75,1.25
Dicentrarchus labrax,38.75,0.25
Dicentrarchus labrax,39.25,-9.75
Dicentrarchus labrax,39.25,9.75
Dicentrarchus labrax,39.25,9.25
Dicentrarchus labrax,39.25,-0.25
Dicentrarchus labrax,39.25,0.25
Dicentrarchus labrax,39.75,23.75
Dicentrarchus labrax,39.75,20.25
Dicentrarchus labrax,39.75,-0.25
Dicentrarchus labrax,39.75,0.75
Dicentrarchus labrax,40.25,0.25
Dicentrarchus labrax,40.25,15.25
Dicentrarchus labrax,40.75,14.25
Dicentrarchus labrax,40.75,-8.75
Dicentrarchus labrax,40.75,24.25
Dicentrarchus labrax,40.75,19.25
Dicentrarchus labrax,41.25,13.75
Dicentrarchus labrax,41.25,2.25
Dicentrarchus labrax,41.25,1.25
Dicentrarchus labrax,41.75,8.75
Dicentrarchus labrax,41.75,19.25
Dicentrarchus labrax,42.25,11.75
Dicentrarchus labrax,42.25,11.25
Dicentrarchus labrax,42.25,-8.75
Dicentrarchus labrax,42.25,8.75
Dicentrarchus labrax,42.25,3.25
