REALM,PROVINCE,ECOREGION,country_name,Species,mean_prod,n_eco,mean_prod_ecoreg,status
Temperate Northern Pacific,Warm Temperate Northwest Pacific,East China Sea,Taiwan Province of China,Acanthopagrus schlegelii,0.875,3,0.291666667,Native
Central Indo-Pacific,South China Sea,Southern China,Taiwan Province of China,Acanthopagrus schlegelii,0.875,3,0.291666667,Native
Central Indo-Pacific,South Kuroshio,South Kuroshio,Taiwan Province of China,Acanthopagrus schlegelii,0.875,3,0.291666667,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Yellow Sea,"Korea, Republic of",Acanthopagrus schlegelii,1539.5,3,513.1666667,Native
Temperate Northern Pacific,Warm Temperate Northwest Pacific,East China Sea,"Korea, Republic of",Acanthopagrus schlegelii,1539.5,3,513.1666667,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,"Korea, Republic of",Acanthopagrus schlegelii,1539.5,3,513.1666667,Native
Temperate Northern Atlantic,Mediterranean Sea,Adriatic Sea,Croatia,Argyrosomus regius,51.61528571,1,51.61528571,Native
Temperate Northern Atlantic,Mediterranean Sea,Aegean Sea,Cyprus,Argyrosomus regius,26.93285714,1,26.93285714,Native
Temperate Northern Atlantic,Mediterranean Sea,Western Mediterranean,France,Argyrosomus regius,468.72,1,468.72,Native
Temperate Northern Atlantic,Mediterranean Sea,Aegean Sea,Greece,Argyrosomus regius,708.62,1,708.62,Native
Temperate Northern Atlantic,Mediterranean Sea,Western Mediterranean,Italy,Argyrosomus regius,54.375,1,54.375,Native
Temperate Northern Atlantic,Lusitanian,South European Atlantic Shelf,Portugal,Argyrosomus regius,27.6746,1,27.6746,Native
Temperate Northern Atlantic,Lusitanian,South European Atlantic Shelf,Spain,Argyrosomus regius,15.683,1,15.683,Native
Temperate Northern Atlantic,Mediterranean Sea,Alboran Sea,Spain,Argyrosomus regius,1061.4367,2,530.71835,Native
Temperate Northern Atlantic,Mediterranean Sea,Western Mediterranean,Spain,Argyrosomus regius,1061.4367,2,530.71835,Native
Temperate Northern Atlantic,Mediterranean Sea,Tunisian Plateau/Gulf of Sidra,Tunisia,Argyrosomus regius,40,1,40,Native
Temperate Northern Atlantic,Mediterranean Sea,Aegean Sea,Turkey,Argyrosomus regius,2848.333333,2,1424.166667,Native
Temperate Northern Atlantic,Mediterranean Sea,Levantine Sea,Turkey,Argyrosomus regius,2848.333333,2,1424.166667,Native
Central Indo-Pacific,Western Coral Triangle,Palawan/North Borneo,Brunei Darussalam,Chanos chanos,0.8,1,0.8,Native
Central Indo-Pacific,Sunda Shelf,Malacca Strait,Indonesia,Chanos chanos,162.684,7,23.24057143,Introduced
Western Indo-Pacific,Andaman,Western Sumatra,Indonesia,Chanos chanos,162.684,7,23.24057143,Introduced
Central Indo-Pacific,Sunda Shelf,Sunda Shelf/Java Sea,Indonesia,Chanos chanos,162.684,7,23.24057143,Introduced
Central Indo-Pacific,Java Transitional,Southern Java,Indonesia,Chanos chanos,162.684,7,23.24057143,Native
Central Indo-Pacific,Western Coral Triangle,Sulawesi Sea/Makassar Strait,Indonesia,Chanos chanos,162.684,7,23.24057143,Introduced
Central Indo-Pacific,Western Coral Triangle,Lesser Sunda,Indonesia,Chanos chanos,162.684,7,23.24057143,Native
Central Indo-Pacific,Western Coral Triangle,Banda Sea,Indonesia,Chanos chanos,162.684,7,23.24057143,Native
Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands,Palau,Chanos chanos,18.29,1,18.29,Native
Central Indo-Pacific,Western Coral Triangle,Eastern Philippines,Philippines,Chanos chanos,102289,2,51144.5,Native
Central Indo-Pacific,Western Coral Triangle,Sulawesi Sea/Makassar Strait,Philippines,Chanos chanos,102289,2,51144.5,Introduced
Central Indo-Pacific,Sunda Shelf,Malacca Strait,Singapore,Chanos chanos,1615.8152,1,1615.8152,Introduced
Eastern Indo-Pacific,"Marshall, Gilbert and Ellis Islands",Gilbert/Ellis Islands,Tuvalu,Chanos chanos,2.333333333,1,2.333333333,Native
Temperate Northern Atlantic,Mediterranean Sea,Adriatic Sea,Albania,Dicentrarchus labrax,172.74,2,86.37,Native
Temperate Northern Atlantic,Mediterranean Sea,Ionian Sea,Albania,Dicentrarchus labrax,172.74,2,86.37,Native
Temperate Northern Atlantic,Mediterranean Sea,Adriatic Sea,Bosnia and Herzegovina,Dicentrarchus labrax,84.9375,1,84.9375,Native
Temperate Northern Atlantic,Mediterranean Sea,Adriatic Sea,Croatia,Dicentrarchus labrax,3216.7134,1,3216.7134,Native
Temperate Northern Atlantic,Mediterranean Sea,Aegean Sea,Cyprus,Dicentrarchus labrax,1247,1,1247,Native
Temperate Northern Atlantic,Lusitanian,South European Atlantic Shelf,France,Dicentrarchus labrax,1191.025,2,595.5125,Native
Temperate Northern Atlantic,Northern European Seas,North Sea,France,Dicentrarchus labrax,1191.025,2,595.5125,Native
Temperate Northern Atlantic,Mediterranean Sea,Western Mediterranean,France,Dicentrarchus labrax,1526.62,1,1526.62,Native
Temperate Northern Atlantic,Mediterranean Sea,Aegean Sea,Greece,Dicentrarchus labrax,36157.97,1,36157.97,Native
Temperate Northern Atlantic,Mediterranean Sea,Levantine Sea,Israel,Dicentrarchus labrax,26.75,1,26.75,Native
Temperate Northern Atlantic,Mediterranean Sea,Western Mediterranean,Italy,Dicentrarchus labrax,3335.894,3,1111.964667,Native
Temperate Northern Atlantic,Mediterranean Sea,Ionian Sea,Italy,Dicentrarchus labrax,3335.894,3,1111.964667,Native
Temperate Northern Atlantic,Mediterranean Sea,Adriatic Sea,Italy,Dicentrarchus labrax,3335.894,3,1111.964667,Native
Western Indo-Pacific,Somali/Arabian,Arabian (Persian) Gulf,Kuwait,Dicentrarchus labrax,0.215,1,0.215,Introduced
Temperate Northern Atlantic,Mediterranean Sea,Tunisian Plateau/Gulf of Sidra,Libya,Dicentrarchus labrax,32,1,32,Native
Temperate Northern Atlantic,Mediterranean Sea,Ionian Sea,Malta,Dicentrarchus labrax,88.9612,1,88.9612,Native
Western Indo-Pacific,Western Indian Ocean,Mascarene Islands,Mauritius,Dicentrarchus labrax,118.8333333,1,118.8333333,Introduced
Temperate Northern Atlantic,Mediterranean Sea,Adriatic Sea,Montenegro,Dicentrarchus labrax,56.9,1,56.9,Native
Temperate Northern Atlantic,Mediterranean Sea,Alboran Sea,Morocco,Dicentrarchus labrax,100.77,1,100.77,Native
Temperate Northern Atlantic,Lusitanian,South European Atlantic Shelf,Portugal,Dicentrarchus labrax,360.0343,1,360.0343,Native
Western Indo-Pacific,Red Sea and Gulf of Aden,Northern and Central Red Sea,Saudi Arabia,Dicentrarchus labrax,300,2,150,Introduced
Western Indo-Pacific,Red Sea and Gulf of Aden,Southern Red Sea,Saudi Arabia,Dicentrarchus labrax,300,2,150,Introduced
Temperate Northern Atlantic,Mediterranean Sea,Adriatic Sea,Slovenia,Dicentrarchus labrax,53.54,1,53.54,Native
Temperate Northern Atlantic,Lusitanian,South European Atlantic Shelf,Spain,Dicentrarchus labrax,619.9325625,1,619.9325625,Native
Temperate Northern Atlantic,Lusitanian,Azores Canaries Madeira,Spain,Dicentrarchus labrax,4172.342667,1,4172.342667,Native
Temperate Northern Atlantic,Mediterranean Sea,Alboran Sea,Spain,Dicentrarchus labrax,9548.92465,2,4774.462325,Native
Temperate Northern Atlantic,Mediterranean Sea,Western Mediterranean,Spain,Dicentrarchus labrax,9548.92465,2,4774.462325,Native
Western Indo-Pacific,Somali/Arabian,Arabian (Persian) Gulf,United Arab Emirates,Dicentrarchus labrax,166.6666667,2,83.33333335,Introduced
Western Indo-Pacific,Somali/Arabian,Gulf of Oman,United Arab Emirates,Dicentrarchus labrax,166.6666667,2,83.33333335,Introduced
Temperate Northern Atlantic,Mediterranean Sea,Aegean Sea,Turkey,Dicentrarchus labrax,59962.15,3,57803.5126,Native
Temperate Northern Atlantic,Mediterranean Sea,Levantine Sea,Turkey,Dicentrarchus labrax,59962.15,3,599.6215,Native
