ECOREGION,status,Introduced,Native,n_fish,n_introduced,n_native,mean_prod_native,mean_prod_introduced,mean_prod_total,log_mean_prod_total,sqrt_mean_prod_total,sqrt_prod,log_prod,sqrt_prod_native,log_prod_native,sqrt_prod_introduced,log_prod_introduced,genetic_score
Adriatic Sea,Native,0,1,6,2,4,10721.70586345,4.814541667,10726.520405117,4.030458863258047,103.56891621098002,9.293546147730693,1.941362335711761,103.54567042348995,4.03030439293882,2.1942063866008596,0.7645154870201483,16.12121757175528
Aegean Sea,Native,0,1,7,1,6,162762.27896194998,1650.94,164413.21896194998,5.215936732251706,405.47899940927886,5.18968757633829,1.4461153602149177,403.4380732676949,5.211556430387055,40.631760975867145,3.2179942692905814,31.269338582322327
Alboran Sea,Native,0,1,4,0,4,13108.81465,0,13108.81465,4.1175634228694795,114.49373192450318,8.366600265340756,1.8512583487190752,114.49373192450318,4.11759655156413,0,0,16.47038620625652
Andaman Sea Coral Coast,Native,0,1,1,0,1,82.5771147,0,82.5771147,1.9168597042621038,9.087195095297558,9.087195095297558,1.9220873740880808,9.087195095297558,1.9220873740880808,0,0,1.9220873740880808
Arabian (Persian) Gulf,Introduced,1,0,3,3,0,0,257.50273334999997,257.50273334999997,2.4107818433675856,16.046891703691404,1.0974515934655158,0.3432904023534331,0,0,16.046891703691404,2.412465139586813,0
Azores Canaries Madeira,Native,0,1,2,0,2,9394.840001,0,9394.840001,3.972889388239152,96.92698283243939,64.59367358340909,3.620484045453965,96.92698283243939,3.972935612695347,0,0,7.945871225390694
Bahamian,Native,0,1,1,0,1,21.66666667,0,21.66666667,1.3357921019900076,4.654746681614371,4.654746681614371,1.3553876580504407,4.654746681614371,1.3553876580504407,0,0,1.3553876580504407
Baltic Sea,Introduced,1,0,4,3,1,1.666666667,2418.95,2420.6166666669997,3.383926019209366,49.199762872060674,2.7386127875258306,0.9294189257142927,1.2909944488649052,0.425968732326568,49.182822204505506,3.383806392861248,0.425968732326568
Banda Sea,Native,0,1,2,1,1,23.24057143,291.4602143,314.70078573,2.4978978272404437,17.739807939490213,4.820847584190979,1.3845428533643267,4.820847584190979,1.3845428533643267,17.07220590023445,2.4660667938876153,1.3845428533643267
Bassian,Introduced,1,0,1,1,0,0,38227.8367,38227.8367,4.582379722140518,195.51940236201622,195.51940236201622,4.582391082678784,0,0,195.51940236201622,4.582391082678784,0
Black Sea,Introduced,1,0,6,4,2,20169.0499967,16301.093885556,36470.143882256,4.561937476698661,190.9715787290245,2.48506650937153,0.8558555312687176,142.01778056532217,4.304706974725607,127.6757372626295,4.212243389958539,8.609413949451215
Celtic Seas,Introduced,1,0,6,2,4,168981.5602222,2970.5364286,171952.09665080003,5.235407475641147,414.6710704290812,21.743307673856798,2.6755688664848782,411.0736676341602,5.227841885737422,54.502627721973184,3.4729810587210963,20.911367542949687
Central Kuroshio Current,Introduced,1,0,8,1,7,59273.8,2972.95,62246.75,4.794116681166766,249.49298587335076,54.524765015541334,3.4733336626033413,243.4621120420999,4.772870097293112,54.524765015541334,3.4733336626033413,33.410090681051784
Central New Zealand,Introduced,1,0,1,1,0,0,11113.7,11113.7,4.045858669388083,105.42153480195591,105.42153480195591,4.045897745028452,0,0,105.42153480195591,4.045897745028452,0
Channels and Fjords of Southern Chile,Introduced,1,0,2,2,0,0,103491.813,103491.813,5.014905995111235,321.7014345631676,210.55865691061007,4.646755999070457,0,0,321.7014345631676,5.014910191504854,0
Chiloense,Introduced,1,0,4,4,0,0,512636.787,512636.787,5.709809768094531,715.9865829748488,337.64500884805034,5.056924477955885,0,0,715.9865829748488,5.709810615271459,0
East China Sea,Native,0,1,18,4,14,197669.982705366,59555.649997,257225.632702366,5.410314244137537,507.1741640722307,106.32466002767185,4.053306420138917,444.6009252187472,5.295942921332595,244.04026306533927,4.774930261129593,74.14320089865633
Eastern Caribbean,Introduced,1,0,2,1,1,10.125,51.6,61.725,1.79046109860397,7.856525949807587,2.6057628441590768,0.8915374576725644,3.181980515339464,1.0463000196529693,7.183313998427188,1.720985744153739,1.0463000196529693
Eastern Philippines,Native,0,1,2,0,2,51245.8333334,0,51245.8333334,4.709658559798511,226.37542563935688,226.15149789466352,4.708807428641708,226.37542563935688,4.709667034443498,0,0,9.419334068886997
Faroe Plateau,Introduced,1,0,2,1,1,62078.5,5351.4,67429.9,4.828852515609008,259.67267857824396,73.15326376861117,3.728548562028337,249.1555738890864,4.792948210374561,73.15326376861117,3.728548562028337,4.792948210374561
Gilbert/Ellis Islands,Native,0,1,1,0,1,2.333333333,0,2.333333333,0.36797678523255234,1.5275252315428378,1.5275252315428378,0.5228787452369081,1.5275252315428378,0.5228787452369081,0,0,0.5228787452369081
Greater Antilles,Native,0,1,2,1,1,111,350,461,2.663700925389648,21.470910553583888,10,2.0043213737826426,10.535653752852738,2.0492180226701815,18.708286933869708,2.545307116465824,2.0492180226701815
Guayaquil,Introduced,1,0,1,1,0,0,17.365,17.365,1.239674787646781,4.167133307202926,4.167133307202926,1.2639909326813126,0,0,4.167133307202926,1.2639909326813126,0
Gulf of Maine/Bay of Fundy,Introduced,1,0,2,1,1,21022.813333,40,21062.813333,4.323516378881561,145.1303322293448,6.324555320336759,1.6127838567197355,144.9924595729033,4.322711491867132,6.324555320336759,1.6127838567197355,4.322711491867132
Gulf of Oman,Introduced,1,0,2,2,0,0,254.18333335,254.18333335,2.405147070720645,15.94312809175163,4.123105625617661,1.255272505103306,0,0,15.94312809175163,2.4068523061365266,0
Gulf of St. Lawrence - Eastern Scotian Shelf,Native,0,1,1,0,1,9974.133333,0,9974.133333,3.9988751695169054,99.87058292109845,99.87058292109845,3.9989187094113325,99.87058292109845,3.9989187094113325,0,0,3.9989187094113325
Gulf of Thailand,Native,0,1,1,0,1,147.7777778,0,147.7777778,2.1696091315930683,12.156388353454327,12.156388353454327,2.1725380676375527,12.156388353454327,2.1725380676375527,0,0,2.1725380676375527
Gulf of Tonkin,Native,0,1,1,0,1,1477.333334,0,1477.333334,3.169478497196692,38.4360941564046,38.4360941564046,3.1697723696439315,38.4360941564046,3.1697723696439315,0,0,3.1697723696439315
Ionian Sea,Native,0,1,5,1,4,24865.09194441,675.94,25541.031944410002,4.407238440253513,159.81561858720193,9.293546147730693,1.941362335711761,157.6866891795563,4.395607535155588,25.998846128241922,2.830550177069665,17.582430140622353
Lesser Sunda,Native,0,1,2,0,2,314.70078573,0,314.70078573,2.4978978272404437,17.739807939490213,4.820847584190979,1.3845428533643267,17.739807939490213,2.499275662784769,0,0,4.998551325569538
