country_name,Species,PRODUCTION_AREA,ISO3_Code,COUNTRY,mean_prod,ISO_N3,ECOREGION
Albania,Dicentrarchus labrax,37,ALB,8,172.74,8,Adriatic Sea
Albania,Dicentrarchus labrax,37,ALB,8,172.74,8,Ionian Sea
Albania,Sparus aurata,37,ALB,8,395.48,8,Adriatic Sea
Albania,Sparus aurata,37,ALB,8,395.48,8,Ionian Sea
Australia,Salmo salar,81,AUS,36,38227.8367,36,Bassian
Australia,Thunnus maccoyii,57,AUS,36,6797.0632,36,South Australian Gulfs
Bahamas,Rachycentron canadum,31,BHS,44,21.66666667,44,Bahamian
Bahrain,Sparus aurata,51,BHR,48,1.2044,48,Arabian (Persian) Gulf
Bosnia and Herzegovina,Dicentrarchus labrax,37,BIH,70,84.9375,70,Adriatic Sea
Bosnia and Herzegovina,Sparus aurata,37,BIH,70,96.74444444,70,Adriatic Sea
Belize,Rachycentron canadum,31,BLZ,84,121.6714286,84,Western Caribbean
Brunei Darussalam,Chanos chanos,71,BRN,96,0.8,96,Palawan/North Borneo
Brunei Darussalam,Lates calcarifer,71,BRN,96,48.23,96,Palawan/North Borneo
Brunei Darussalam,Trachinotus blochii,71,BRN,96,9.77,96,Palawan/North Borneo
Myanmar,Lates calcarifer,57,MMR,104,165.1542294,104,Andaman Sea Coral Coast
Myanmar,Lates calcarifer,57,MMR,104,165.1542294,104,Northern Bay of Bengal
Cambodia,Lates calcarifer,71,KHM,116,147.7777778,116,Gulf of Thailand
Canada,Salmo salar,21,CAN,124,29922.4,124,Northern Grand Banks - Southern Labrador
Canada,Salmo salar,21,CAN,124,29922.4,124,Gulf of St. Lawrence - Eastern Scotian Shelf
Canada,Salmo salar,21,CAN,124,29922.4,124,Southern Grand Banks - South Newfoundland
Canada,Oncorhynchus mykiss,67,CAN,124,200,124,North American Pacific Fijordland
Canada,Oncorhynchus mykiss,67,CAN,124,200,124,"Oregon, Washington, Vancouver Coast and Shelf"
Canada,Oncorhynchus mykiss,67,CAN,124,200,124,Gulf of Maine/Bay of Fundy
Canada,Oncorhynchus mykiss,67,CAN,124,200,124,Scotian Shelf
Canada,Oncorhynchus mykiss,67,CAN,124,200,124,Puget Trough/Georgia Basin
Canada,Salmo salar,67,CAN,124,76496.9,124,North American Pacific Fijordland
Canada,Salmo salar,67,CAN,124,76496.9,124,"Oregon, Washington, Vancouver Coast and Shelf"
Canada,Salmo salar,67,CAN,124,76496.9,124,Gulf of Maine/Bay of Fundy
Canada,Salmo salar,67,CAN,124,76496.9,124,Scotian Shelf
Canada,Salmo salar,67,CAN,124,76496.9,124,Puget Trough/Georgia Basin
Sri Lanka,Lates calcarifer,57,LKA,144,11.647,144,South India and Sri Lanka
Chile,Oncorhynchus mykiss,87,CHL,152,158339.1,152,Channels and Fjords of Southern Chile
Chile,Oncorhynchus mykiss,87,CHL,152,158339.1,152,Chiloense
Chile,Salmo salar,87,CHL,152,394379.1,152,Channels and Fjords of Southern Chile
Chile,Salmo salar,87,CHL,152,394379.1,152,Chiloense
Chile,Oncorhynchus kisutch,87,CHL,152,126122.1,152,Channels and Fjords of Southern Chile
Chile,Oncorhynchus tshawytscha,87,CHL,152,698.7,152,Channels and Fjords of Southern Chile
Chile,Oncorhynchus kisutch,87,CHL,152,126122.1,152,Chiloense
Chile,Oncorhynchus tshawytscha,87,CHL,152,698.7,152,Chiloense
China,Rachycentron canadum,61,CHN,156,33914.8,156,East China Sea
China,Rachycentron canadum,61,CHN,156,33914.8,156,Yellow Sea
China,Rachycentron canadum,61,CHN,156,33914.8,156,Southern China
China,Sciaenops ocellatus,61,CHN,156,60190.3,156,East China Sea
China,Sciaenops ocellatus,61,CHN,156,60190.3,156,Yellow Sea
China,Sciaenops ocellatus,61,CHN,156,60190.3,156,Southern China
China,Scophthalmus maximus,61,CHN,156,56500,156,East China Sea
China,Scophthalmus maximus,61,CHN,156,56500,156,Yellow Sea
China,Larimichthys crocea,61,CHN,156,100224,156,East China Sea
China,Lateolabrax japonicus,61,CHN,156,115693.8,156,East China Sea
China,Takifugu rubripes,61,CHN,156,17053.1,156,East China Sea
China,Trachinotus blochii,61,CHN,156,89100,156,East China Sea
China,Larimichthys crocea,61,CHN,156,100224,156,Yellow Sea
