ECOREGION,Species,country_name,ecoreg_ratio
Adriatic Sea,Dicentrarchus labrax,Albania,0.4062588390608637
Adriatic Sea,Sparus aurata,Albania,0.3139800373120653
Adriatic Sea,Thunnus thynnus,Croatia,1
Aegean Sea,Dicentrarchus labrax,Greece,1
Aegean Sea,Mugil cephalus,Greece,0.5769346582354712
Aegean Sea,Oncorhynchus mykiss,Turkey,0.01603206412825651
Aegean Sea,Pagrus pagrus,Greece,0.6526232114467408
Aegean Sea,Sparus aurata,Greece,1
Aegean Sea,Thunnus thynnus,Greece,0.17749674583422706
Alboran Sea,Argyrosomus regius,Spain,0.5978391356542617
Alboran Sea,Dicentrarchus labrax,Spain,0.40950916453037084
Alboran Sea,Oncorhynchus mykiss,Spain,1
Alboran Sea,Sparus aurata,Spain,0.6317957631231448
Alboran Sea,Thunnus thynnus,Spain,0.48516660473182216
Andaman Sea Coral Coast,Lates calcarifer,Thailand,0.19235947492426791
Arabian (Persian) Gulf,Dicentrarchus labrax,Kuwait,1
Arabian (Persian) Gulf,Sparus aurata,Kuwait,1
Arafura Sea,Chanos chanos,Indonesia,3.2680868743654345e-5
Araucanian,Oncorhynchus mykiss,Chile,0.007206514570673851
Araucanian,Salmo salar,Chile,3.185281128518912e-4
Azores Canaries Madeira,Argyrosomus regius,Spain,0.4021608643457383
Azores Canaries Madeira,Dicentrarchus labrax,Spain,0.20087951700130477
Azores Canaries Madeira,Sparus aurata,Spain,0.3682042368768552
Azores Canaries Madeira,Thunnus thynnus,Spain,1.5483711135885048e-4
Baltic Sea,Oncorhynchus mykiss,Finland,1
Banda Sea,Chanos chanos,Indonesia,0.34899019861805375
Banda Sea,Lates calcarifer,Indonesia,0.20695894614520605
Bassian,Oncorhynchus mykiss,Australia,0.4479413066852192
Bassian,Salmo salar,Australia,0.9955767367149438
Bismarck Sea,Lates calcarifer,Papua New Guinea,0.5
Black Sea,Dicentrarchus labrax,Turkey,1
Black Sea,Oncorhynchus mykiss,Turkey,0.9839679358717435
Black Sea,Salmo salar,Russian Federation,0.4225352112676056
Celtic Seas,Dicentrarchus labrax,France,0.00927684553660281
Celtic Seas,Gadus morhua,United Kingdom,1
Celtic Seas,Hippoglossus hippoglossus,United Kingdom,1
