PROVINCE,ECOREGION,REALM,n_total,n_introduced,n_native,prod_total,prod_native,prod_introduced,Genetic,Invasive,Diseases,Overall
Mediterranean Sea,Adriatic Sea,Temperate Northern Atlantic,6,1,5,10726.520405117,10724.435530117,2.084875,50.11322491990572,18.65366170408974,76.02060249809877,144.78748912209423
Mediterranean Sea,Aegean Sea,Temperate Northern Atlantic,6,1,5,189665.0757387,189585.67181084,79.40392786,57.34614879753616,36.811480825772755,95.06671446924604,189.22434409255493
Mediterranean Sea,Alboran Sea,Temperate Northern Atlantic,4,0,4,13108.81465,13108.81465,0,45.30481497508884,0,71.84500377639878,117.14981875148763
Andaman,Andaman Sea Coral Coast,Western Indo-Pacific,1,0,1,82.5771147,82.5771147,0,15.476723815480838,0,31.433480231355194,46.91020404683603
Somali/Arabian,Arabian (Persian) Gulf,Western Indo-Pacific,3,3,0,257.50273334999997,0,257.50273334999997,0,40.43953939593069,51.00674065050015,91.44628004643084
Lusitanian,Azores Canaries Madeira,Temperate Northern Atlantic,2,0,2,6783.591334,6783.591334,0,30.902472258869523,0,46.83822680855865,77.74069906742818
Tropical Northwestern Atlantic,Bahamian,Tropical Atlantic,1,0,1,21.66666667,21.66666667,0,12.996434818841573,0,11.723566055628384,24.720000874469957
Northern European Seas,Baltic Sea,Temperate Northern Atlantic,4,2,2,2420.6166666669997,9.166666667,2411.45,15.843849519677356,49.402577103041665,45.68217424254274,110.92860086526176
Western Coral Triangle,Banda Sea,Central Indo-Pacific,2,1,1,314.70078573,23.24057143,291.4602143,13.135471630360628,32.96936548241509,39.63976813388805,85.74460524666377
Southeast Australian Shelf,Bassian,Temperate Australasia,1,1,0,38227.8367,0,38227.8367,0,52.168549732343635,41.087580168721644,93.25612990106528
Black Sea,Black Sea,Temperate Northern Atlantic,4,2,2,8672.882527556,1565.1914555560002,7107.691072,28.218397947882966,67.91298787338233,78.70633408738755,174.83771990865284
Northern European Seas,Celtic Seas,Temperate Northern Atlantic,6,1,5,172382.80265203002,169435.13122343,2947.6714286,57.08040462201157,49.6758779441555,66.15480177362285,172.9110843397899
Warm Temperate Northwest Pacific,Central Kuroshio Current,Temperate Northern Pacific,7,0,7,212107.2269809,212107.2269809,0,68.16552752472211,0,66.41609766273056,134.5816251874527
