Species,spp_name,mean_quant,country
Salmo salar,Atlantic salmon,145334.34425,15
Larimichthys crocea,Large yellow croaker,120431.5,1
Seriola quinqueradiata,Japanese amberjack,72818.66666666667,2
Oncorhynchus kisutch,Coho(=Silver) salmon,72352.91666666667,2
Lateolabrax japonicus,Japanese seabass,63496.833333333336,2
Trachinotus blochii,Snubnose pompano,30724.998363636365,5
Oncorhynchus mykiss,Rainbow trout,25282.114894736842,12
Pagrus auratus,Silver seabream,24479.875,4
Paralichthys olivaceus,Bastard halibut,21932.833333333332,2
Sebastes schlegelii,Korean rockfish,20930.666666666668,1
Chanos chanos,Milkfish,20268.125485714285,7
Thunnus orientalis,Pacific bluefin tuna,9041.042891818182,2
Sciaenops ocellatus,Red drum,8276.22798,10
Takifugu rubripes,Tiger pufferfish,7610.470588235294,3
Scophthalmus maximus,Turbot,7568.535678571428,12
Thunnus maccoyii,Southern bluefin tuna,7538.333333333333,1
Sparus aurata,Gilthead seabream,6270.590589430894,19
Dicentrarchus labrax,European seabass,5865.101176470588,22
Oncorhynchus tshawytscha,Chinook(=Spring=King) salmon,4484.4375,3
Rachycentron canadum,Cobia,4190.014285967742,12
Pseudocaranx dentex,White trevally,3307.8333333333335,1
Gadus morhua,Atlantic cod,1461.3426086956522,4
Mugil cephalus,Flathead grey mullet,1008.4772972972972,7
Pagrus pagrus,Red porgy,743.2533333333333,2
Acanthopagrus schlegelii,Blackhead seabream,702.5,2
Hippoglossus hippoglossus,Atlantic halibut,605.9888235294118,3
Lates calcarifer,Barramundi(=Giant seaperch),543.32976775,11
Thunnus thynnus,Atlantic bluefin tuna,538.7603773584906,11
Argyrosomus regius,Meagre,535.3374418604651,9
Trachurus japonicus,Japanese jack mackerel,505.09090909090907,2
